text,iab_label,confidence
beyonce jay z skip kimye wedding hang hamptons instead,IAB20 Travel,0.53
wikipedia new medical reference patients,IAB24 Uncategorized,0.17
yawning may decrease age study,IAB15 Science,0.1
life review roger ebert documentary gets two thumbs way,IAB1 Arts & Entertainment,0.28
made america cheaper made brazil boston consulting group,IAB3 Business,0.36
saturn shines brightest may 10 2014,IAB15 Science,0.1
oneplus unveils one smartphone reminds us never settle,IAB19 Technology & Computing,0.29
glaxosmithkline recalls weight loss drug alli reports wrong pills bottles,IAB12 News,0.33
dr manny smallpox discovery trigger congressional investigation,"IAB11 Law, Gov’t & Politics",0.25
watch russell crowe emma watson jennifer connelly behind scenes,IAB1 Arts & Entertainment,0.14
rob horowitz two important developments climate front,IAB12 News,0.31
stocks buck headwinds finish higher,IAB24 Uncategorized,0.12
sandra bullock faces intruder,IAB12 News,0.13
facebook testing new buy button,IAB22 Shopping,0.24
major del bridge closure could mean months delays,IAB20 Travel,0.28
could cannabis curb seizures experts weed evidence,IAB15 Science,0.2
review android wear simplifying future,IAB19 Technology & Computing,0.18
microsoft announces largest layoff ever,IAB19 Technology & Computing,0.5
jackson county gmo crops ban happens faq,IAB12 News,0.15
gates munger buffett slam highspeed trading,IAB3 Business,0.15
google glass available american public one day,IAB19 Technology & Computing,0.14
researchers split electron photon create matter,IAB15 Science,0.82
micros systems inc shareholder alert rigrodsky long pa,IAB3 Business,0.14
next bachelor iowa farmer,IAB3 Business,0.2
microsoft ends upgrades security updates windows xp,IAB19 Technology & Computing,0.37
state fund offers buy troubled malaysia airlines,IAB20 Travel,0.22
solange knowles makes first red carpet appearance since jay z attack,IAB12 News,0.21
christmas music lovers,IAB1 Arts & Entertainment,0.19
court rules pandora wont pay higher royalties songwriters,IAB3 Business,0.21
soul singer bobby womack dead 70,IAB1 Arts & Entertainment,0.15
procurement software affected heartbleed bug,IAB3 Business,0.25
dont buy social media stocks,IAB24 Uncategorized,0.44
bryan cranston helps fan land date,IAB1 Arts & Entertainment,0.13
hot beyonce jayz release video run,IAB1 Arts & Entertainment,0.21
robin thicke pleads onstage win back estranged wife paula patton,IAB6 Family & Parenting,0.21
pahowhos office barbados eastern caribbean countries urges,IAB16 Pets,0.1
blackshades hackers hit kiwis,IAB8 Food & Drink,0.38
google facebook twitter blast fccs net neutrality plan,"IAB11 Law, Gov’t & Politics",0.25
time us catch melanoma prevention,IAB12 News,0.16
talk ecb action grows amid europe growth worry ktvn channel 2 reno,IAB3 Business,0.22
nexus 5 nexus 7 android l beta release demos battery monitor feature,IAB19 Technology & Computing,0.2
paltrow faces ire americas working mothers,IAB6 Family & Parenting,0.27
malaysia plane relatives dragged away news conference,IAB12 News,0.7
1000apill sovaldi jolts health care system,IAB12 News,0.15
kellys cancer treatable,IAB12 News,0.14
zara apologizes pajamas look like concentration camp uniform,IAB24 Uncategorized,0.18
threats sent rhode island lawmakers probing 38 studios bonds,"IAB11 Law, Gov’t & Politics",0.17
honeymoon night justin jennifer aniston plans prewedding crash diet,IAB20 Travel,0.49
phantom iraq,IAB24 Uncategorized,0.22
fedex accused dangerous drug delivery,IAB20 Travel,0.24
pfizer gives legally binding commitment rd jobs,IAB4 Careers,0.22
facebook looks break fitness market latest moves acquisition,IAB7 Health & Fitness,0.32
seti astronomers say find alien life 20 years,IAB15 Science,0.25
nyse active runners bank america nysebac att inc nyset,IAB17 Sports,0.51
apple carplay headed audis 2015,IAB2 Automotive,0.14
target ceo exits giant hack,IAB3 Business,0.19
se mich pmi economy experiences sharp upswing may,IAB3 Business,0.35
european business going meet putin,IAB3 Business,0.66
ocean winds put heat australia,IAB20 Travel,0.11
twitter amazon team inapp purchasing,IAB22 Shopping,0.29
us new home sales fall july supply increases sharply,IAB21 Real Estate,0.3
twitters web page design looks like facebook,IAB24 Uncategorized,0.13
us broadcast television ratings week ended april 27,IAB12 News,0.18
kate winslet gets star hollywood walk fame,IAB1 Arts & Entertainment,0.31
nbc cancels community five seasons renews hannibal,IAB12 News,0.34
camaro wishes mustang happy 50th birthday,IAB2 Automotive,0.85
new rankings reveal teen pregnancy rates state,IAB12 News,0.35
person calling irs agent,IAB21 Real Estate,0.16
stocks break weekly winning streak,IAB3 Business,0.13
kristen cavallari welcomes second child son jaxon wyatt,IAB6 Family & Parenting,0.45
guest reshape media landscape say comcasttime warner deal,IAB12 News,0.18
russia scrubs debut launch new space rocket,IAB20 Travel,0.19
ecoli linked raw clover sprouts sickened 10 two states,IAB12 News,0.15
flash costumes finally revealed crimson gold glory,IAB18 Style & Fashion,0.15
katie holmes poses topless glamour cover,IAB18 Style & Fashion,0.14
google talks buy video game streaming service twitch,IAB24 Uncategorized,0.12
faq whats cinco de mayo,IAB24 Uncategorized,0.21
ntsb bares near midair collision 2 passenger jets newark airport,IAB12 News,0.21
closer look lens blur new google camera app,IAB19 Technology & Computing,0.2
yahoo earnings deck focus alibaba,IAB3 Business,0.67
eurozone inflation stays weak june,IAB3 Business,0.12
cosmic lightshow shooting stars blaze across skies tonight,IAB20 Travel,0.15
astrazeneca weighs stoxx 600 rebuffing pfizer,IAB3 Business,0.16
jpmorgan slips q1 profit slumps 19 amid weak trading mortgage,IAB3 Business,0.29
danica mckellar danica mckellar engaged,IAB12 News,0.08
nationality sole factor violent antichina protests,IAB24 Uncategorized,0.16
mark wahlberg make nontransformers fan care age extinction,IAB24 Uncategorized,0.17
resurrection day lives,IAB23 Religion & Spirituality,0.15
madonna direct interracial romance ade love story,IAB1 Arts & Entertainment,0.38
apple eyeing full health fitness platform report says,IAB7 Health & Fitness,0.24
10 cheapest places get gas lancaster county,IAB13 Personal Finance,0.14
michael jackson quiz well know king pop,IAB1 Arts & Entertainment,0.13
microsoft surface third time charm,IAB19 Technology & Computing,0.26
allen county health challenges remain rankings show,IAB12 News,0.24
housing prices beat expectations show gains march,IAB21 Real Estate,0.77
fwc commissioners receive florida panther update,IAB12 News,0.46
dementia care costs business 16 billion year,IAB3 Business,0.65
stock indexes barely budge early trading citigroup technology shares slide,IAB19 Technology & Computing,0.21
ebay inc nasdaqebay takes next step enter international,IAB3 Business,0.41
godzilla brings hope life space,IAB20 Travel,0.25
scientists discover remains largest flying bird,IAB15 Science,0.71
hack attacks european energy companies raises sabotage fears,IAB12 News,0.23
boyhood faces ups downs growing,IAB6 Family & Parenting,0.18
smartwatch deals week amazon pricing slashed samsung galaxy,IAB19 Technology & Computing,0.21
jessica alba jessica alba among jessica simpsons wedding guests,IAB1 Arts & Entertainment,0.17
officials recalled beef found rhode island,IAB12 News,0.2
smallpox vials found storage room nih campus bethesda md,IAB12 News,0.24
citigroup agrees 7 billion settlement,IAB3 Business,0.18
rochester happy video,IAB1 Arts & Entertainment,0.11
jimmy kimmels abc contract renewed 2017,IAB1 Arts & Entertainment,0.28
met mother finale total bullhockey,IAB17 Sports,0.32
cramming ftc say tmobile fraudulently make,IAB2 Automotive,0.22
lead annual eurozone inflation drops fouryear low andrew,IAB12 News,0.21
watch dogs review meet new open world game old open,IAB24 Uncategorized,0.15
google cofounder wants people work less robots help tasks,IAB19 Technology & Computing,0.15
ray js wedding gift kim kardashian kanye west unbelievable,IAB24 Uncategorized,0.2
fantastic sky show expected early tuesday morning total lunar eclipse,IAB20 Travel,0.12
microsoft lay 14 percent workforce,IAB19 Technology & Computing,0.24
euro defensive dovish ecb talk kiwi flies,IAB3 Business,0.24
rptindias ranbaxy slumps sun pharma surges 32bln acquisition,IAB3 Business,0.36
stocks close higher sp 500 rises 6th day,IAB15 Science,0.24
coker publishers disposable amazon,IAB24 Uncategorized,0.14
pundits vs comedians wins battle wits,IAB1 Arts & Entertainment,0.21
handset deal microsoft corporation close april 25 nokia,IAB19 Technology & Computing,0.28
kit harington im allowed cut hair,IAB18 Style & Fashion,0.12
watch drake ask random people like drake,IAB17 Sports,0.1
euro slide continues solid us data,IAB12 News,0.12
amazon fire tv review,IAB1 Arts & Entertainment,0.19
moto 360 video shows smartwatchs final design interface,IAB19 Technology & Computing,0.21
nh reminds residents take precautions tick season,IAB12 News,0.44
astrazeneca lays growth plan wake 106b pfizer bid,IAB12 News,0.24
fake website hbos silicon valley better real corporate,IAB3 Business,0.73
googles quarterly earnings disappoint ad prices slip,IAB19 Technology & Computing,0.2
ethan hawke patricia arquette shocked movie aging,IAB1 Arts & Entertainment,0.12
error forces bank america suspend plans raise dividend buy back stock,IAB3 Business,0.68
