text,iab_label,confidence
verdict due japan whaling,IAB12 News,0.28
virgin atlantic tops airline quality rankings american eagle finishes bottom,IAB20 Travel,0.51
18000 lose jobs microsoft,IAB19 Technology & Computing,0.43
ming dynasty chicken cup rm118 million sale record,IAB3 Business,0.18
stephen reacts cancelcolbert im still,IAB24 Uncategorized,0.26
may probably tickiest time year top 10 things need know,IAB12 News,0.11
lea michele new beau open relationship,IAB12 News,0.26
watch webcam captures sea turtle hatchlings florida keys,IAB12 News,0.15
celebrity noshow china car show riles fans hyundai booth,IAB2 Automotive,0.55
kimye wedding photo booth big sean tyga common john legend jaden,IAB1 Arts & Entertainment,0.23
changes debit card fees much going cost swipe card,IAB13 Personal Finance,0.19
actor wayne knight takes twitter dispel death rumors,IAB1 Arts & Entertainment,0.54
ladee end wonderful journey,IAB20 Travel,0.63
guardians galaxy cinema review,IAB1 Arts & Entertainment,0.25
peter jones right turn threatens existence eu,IAB12 News,0.16
man arrested raping teen keith urban concert,IAB1 Arts & Entertainment,0.58
see total lunar eclipse coming tax day eve us,IAB12 News,0.13
mcdonalds offering free breakfast coffee,IAB8 Food & Drink,0.67
rumored 32 billion beats deal would apples largest ever acquisition,IAB3 Business,0.25
morgans health condition upgraded,IAB12 News,0.26
motorola moto e launched india today,IAB2 Automotive,0.52
huers call serious chemical reaction astrazeneca situation,IAB12 News,0.15
neighbors huge opening weekend audience shockingly,IAB12 News,0.33
argentina heads default debt talks end,IAB12 News,0.18
archie comics kill archie andrews ceo explains comic book,IAB1 Arts & Entertainment,0.21
sweet sticky honey,IAB24 Uncategorized,0.1
natural history museum exhibit puts new spin old spider myths,IAB24 Uncategorized,0.17
gazprom continue gas supplies europe,IAB3 Business,0.09
helmer gareth edwards direct star wars spinoff,IAB1 Arts & Entertainment,0.57
uber seeks manager brussels banned,IAB24 Uncategorized,0.13
stocks end third straight day nasdaq losses deepen,IAB24 Uncategorized,0.12
national briefs gasoline hits 14month high,IAB12 News,0.43
crop progress report planted corn acres increased 13,IAB12 News,0.24
northwest ags sue energy drink marketing claims,IAB3 Business,0.31
jill kelly thurman thomas open jims cancer battle,IAB12 News,0.16
stocks rise profits yen climbs russian shares drop,IAB3 Business,0.22
tammy rotten rating rotten tomatoes,IAB24 Uncategorized,0.12
vatican bank profits almost wiped 2013 cleanup,IAB3 Business,0.19
walking dead finale death surprising 7 shocking turns terminus,IAB12 News,0.14
motlaugh bangladesh factory collapse,IAB12 News,0.28
adduplex july stats lumia 630,IAB15 Science,0.13
google io 2014 schedule available,IAB20 Travel,0.09
hillsboro water safe unaffected portland boil alert,IAB12 News,0.13
apple settles 840m ebook pricefixing case,IAB19 Technology & Computing,0.23
money new health insurance paradigm part ii,IAB12 News,0.21
regulators accuse tmobile bogus billing lawsuit,"IAB11 Law, Gov’t & Politics",0.19
facebook admits conducting stealth research study,IAB24 Uncategorized,0.18
never mind cars time recall general motors,IAB24 Uncategorized,0.62
claire leeson kim kardashian lookalike broke spending 30000,IAB13 Personal Finance,0.31
us stockssp 500 ends record housing hp transports fly,IAB20 Travel,0.3
trading volume sp dropped,IAB3 Business,0.11
cuomo calls transit authority unions back bargaining table,IAB20 Travel,0.4
malaysia airlines boeing facing lawsuit flight 370,IAB20 Travel,0.27
robin thicke get back,IAB20 Travel,0.14
ebay probes supposed user lists sold black market,IAB3 Business,0.23
disney world wants bring drones,IAB1 Arts & Entertainment,0.56
barnes noble inc split retail nook businesses,IAB3 Business,0.73
developer introduced heartbleed error says regrets,IAB12 News,0.11
ecigarettes marketed millions teens,IAB3 Business,0.16
stars align vanity fairs 2014 tribeca film festival party,IAB1 Arts & Entertainment,0.27
whats name tmobile holds cards,IAB2 Automotive,0.21
stones return stage,IAB24 Uncategorized,0.09
eating two half portions fruit veg day cuts stroke risk third,IAB8 Food & Drink,0.25
premature rise us interest rates endanger national real estate market,IAB21 Real Estate,0.81
european shares fluctuate german sentiment outlook uk stocks fall,IAB3 Business,0.13
earth hour celebrated assembly building,IAB24 Uncategorized,0.12
producers win refiners lose us crudeoil export ban dies,IAB3 Business,0.41
prayer partnerships,IAB23 Religion & Spirituality,0.48
nfl upping lawsuit mia 15 million 166 million,IAB17 Sports,0.82
shares hillshire brands company soared,IAB3 Business,0.41
distrust adding malaysian jet confusion say analysts,IAB12 News,0.17
gotham gets series pickup fox,IAB2 Automotive,0.4
amazon earnings preview expect impressive growth accompanied margin,IAB3 Business,0.26
bezos offers update groceries drones ktvn channel 2 reno tahoe news,IAB12 News,0.5
final details microsoftnokia closing,IAB19 Technology & Computing,0.46
larger displays ios 8 fitness tracking apple iphone 6 rumour,IAB19 Technology & Computing,0.2
us wins trade dispute china duties cars suvs 2nd win since march,IAB2 Automotive,0.37
video lucky dude solves impossible wheel fortune puzzle,IAB12 News,0.13
euro hanging key support,IAB24 Uncategorized,0.1
graco recalls car seats,IAB2 Automotive,0.23
carney signals earlier rate rise,IAB12 News,0.16
acm awards 2014 highlights,IAB1 Arts & Entertainment,0.17
sacs steinberg gets 3 12 years insider probe winds 4,IAB3 Business,0.21
stooges scott asheton passes away,IAB16 Pets,0.09
floyd mayweather ti fight inside las vegas fatburger,IAB8 Food & Drink,0.51
target board unseats president ceo steinhafel,IAB3 Business,0.22
nrcs network must rebuilt attacks chinese hackers feds 0,IAB24 Uncategorized,0.14
exploding tyre sets miley cyrus tour bus fire,IAB20 Travel,0.65
honda raises profit forecast yen emerging markets boost,IAB3 Business,0.22
voice video season 6 battles round 1 premiere recap,IAB12 News,0.12
aguinaldo basilan soldiers cheer pacman,IAB17 Sports,0.3
stocks notch tiny gains still end week lower slow trading,IAB24 Uncategorized,0.12
market snapshot dow sp set new records strong week us stocks,IAB15 Science,0.2
imf offers ukraine 18 billion loans peter leonard associated press,IAB12 News,0.22
aaa reports independence day gas prices likely highest six years,IAB12 News,0.18
power outage forces eurostar trains cancelled,IAB20 Travel,0.58
schneiderman sues barclays alleges deceit,IAB3 Business,0.39
demi lovato guestedits covers seventeen,IAB24 Uncategorized,0.08
life cabaret new chum alan cumming michelle williams become,IAB1 Arts & Entertainment,0.47
garth brooks ticketmaster advise ticket refunds available july 15,IAB3 Business,0.18
gms faulty ignition switch made china ikea raises us minimum wage,IAB3 Business,0.21
1 68 american children autism according new cdc report,IAB12 News,0.18
ann b davis known role brady bunch dead 88,IAB12 News,0.16
google wants living room,IAB24 Uncategorized,0.18
microsoft reportedly rebrand windows azure microsoft azure,IAB19 Technology & Computing,0.2
