text,iab_label,confidence
sony signed deal sell playstations china,IAB19 Technology & Computing,0.27
kristen bell poses naked allure,IAB1 Arts & Entertainment,0.21
samsung claims made major graphene production breakthrough,IAB19 Technology & Computing,0.4
facebook doesnt care privacy thats worth 150bn,IAB24 Uncategorized,0.25
upping top game new htc one,IAB12 News,0.22
weather channel cuts back reality tv programming makes peace,IAB24 Uncategorized,0.26
csuisse says found anything materially untoward forex trading,IAB24 Uncategorized,0.2
4eyed daddy longleg fossil polynymous arachnid evolution,IAB15 Science,0.25
siriusxm fires host cumia opie anthony show citing hatefilled remarks,IAB12 News,0.23
coworkers mourn school counselor killed shooting shield actors home,IAB5 Education,0.44
us metal firms said targets chinese spying,IAB3 Business,0.26
pizza chain files chapter 11,IAB8 Food & Drink,0.42
facebook debuts app free web access emerging markets,IAB24 Uncategorized,0.09
amds ps4 xbox ones apus chips manufactured new,IAB19 Technology & Computing,0.36
box office transformers age extinction takes fourth july,IAB1 Arts & Entertainment,0.2
bachelor juan pablos obscene comment clare crawley celebs react,IAB12 News,0.13
google face us antitrust issue twitch acquisition,IAB3 Business,0.13
yahoo shares slip investors focus weak q2 ad sales,IAB12 News,0.29
senate appoints vice chair confirms 2 fed nominees,"IAB11 Law, Gov’t & Politics",0.25
applications jobless aid modestly,IAB4 Careers,0.28
local teen takes top honors leading science math competit san diego,IAB15 Science,0.26
facebook introduces nearby friends feature,IAB24 Uncategorized,0.1
gwyneth paltrow appears glee singing pharrell williams happy,IAB1 Arts & Entertainment,0.33
join us live 845pm edt 545pm pdt sonys future innovation,IAB12 News,0.15
eurjpy fundamental analysis july 16 2014 forecast,IAB15 Science,0.15
stargazers across derbyshire hope clear skies ahead meteor shower,IAB20 Travel,0.11
china vietnam bicker sunken fishing boat,IAB9 Hobbies & Interests,0.16
study tons plastic debris float worlds oceans posing potential wildlife,IAB15 Science,0.27
goodbye late late show hello carpentry craig ferguson,IAB9 Hobbies & Interests,0.27
windows phone 8 running m8,IAB19 Technology & Computing,0.24
german inflation picks april points higher euro zone rate,IAB13 Personal Finance,0.1
movie review grand budapest hotel storybook come vivid life,IAB20 Travel,0.45
jay z beyonce announce run tour dates ticket info,IAB1 Arts & Entertainment,0.29
taco bell continues teasing mcdonalds old macdonald tune new ad,IAB8 Food & Drink,0.64
trailer spokane zombies air,IAB20 Travel,0.38
bmws 1 billion plant surfs mexican investment wave,IAB3 Business,0.3
marvel realm lightens guardians galaxy,IAB20 Travel,0.19
blood moons horizon,IAB24 Uncategorized,0.11
highspeed trading firm virtu seeks 100m ipo,IAB3 Business,0.3
us mosquitoes spreading chikungunya virus,IAB20 Travel,0.14
527 530pm tuesday evening health watch,IAB12 News,0.2
spandex confessional wrestling legend pat patterson comes,IAB17 Sports,0.56
soak view destiny panoramas,IAB20 Travel,0.16
update 1outkast goes back 1990s hip hop coachella reunion,IAB1 Arts & Entertainment,0.22
comedian john pinette found dead pittsburg hotel room age 50,IAB12 News,0.19
oppo find 7 officially launched,IAB12 News,0.15
ebola afraid,IAB24 Uncategorized,0.13
scientists discover longevity gene makes people smarter,IAB15 Science,0.79
bezoss annual letter includes celebration kindle amazon publishing,IAB19 Technology & Computing,0.16
taylor swift gorgeous crop top maxi skirt country music awards,IAB18 Style & Fashion,0.21
hong kong main index hits highest since december optimism property gains,IAB21 Real Estate,0.53
course teenager looks exactly like elsa frozen,IAB6 Family & Parenting,0.16
walmart opens first walmart go convenience store,IAB3 Business,0.33
nasas firing room 4 ksc gets makeover,IAB15 Science,0.4
irs warns consumers largest phone scam ever,IAB12 News,0.16
generations us tanners see spike deadly melanoma,IAB12 News,0.23
carey hot divorce comment,IAB12 News,0.25
video jimmy fallon tonight show take orlando,IAB12 News,0.44
amber riley chris colfer glee 100 sneak peek clip pics,IAB1 Arts & Entertainment,0.15
game thrones director talks crazy season 4 finale shocking death,IAB1 Arts & Entertainment,0.38
stars hailed olivier awards,IAB1 Arts & Entertainment,0.11
samsung galaxy note 4 concept image packs 57inch screen 21mp camera,IAB19 Technology & Computing,0.36
titanfall companion app released mobile devices,IAB1 Arts & Entertainment,0.19
us gdp expanded 26 fourth quarter,IAB3 Business,0.19
teenage mutant ninja turtles first look michael bays reboot,IAB1 Arts & Entertainment,0.3
currencyshares euro trust fxe news ecb members try talk euro,IAB12 News,0.58
selffulfilling prophecy fatalistic climate rhetoric,IAB12 News,0.2
kim kardashian kanye west get blasted piercing baby norths ears,IAB6 Family & Parenting,0.19
climate,IAB24 Uncategorized,0.15
rosie odonnells return view exactly hot temper needs video,IAB24 Uncategorized,0.09
todays mortgage rates 30year conventional loans fha mortgage rates,IAB12 News,0.16
dla weil lead vodafones 72bn acquisition spains ono,IAB3 Business,0.38
