text,iab_label,confidence
holy thursday important,IAB23 Religion & Spirituality,0.44
lena dunham apologises molestation tweet,IAB12 News,0.17
air canada unveils new cabin interiors,IAB12 News,0.2
british pound us dollar gbpusd exchange rate lower monetary policy,IAB12 News,0.12
compute transformers 4 worst yet,IAB19 Technology & Computing,0.59
folkie jesse winchester dies cancer aged 69,IAB12 News,0.1
pinterest 200 million,IAB9 Hobbies & Interests,0.1
george look like eight months,IAB6 Family & Parenting,0.1
watch teenage mutant ninja turtles trailer,IAB1 Arts & Entertainment,0.41
lindsay lohan wants integrity,IAB24 Uncategorized,0.12
look central ohioans get good view meteor shower,IAB12 News,0.15
miley cyrus flaming lips release newest video blonde superfreak steals,IAB1 Arts & Entertainment,0.24
nicole kidman makes nude work celebrate life ball,IAB1 Arts & Entertainment,0.13
milford ayer medical marijuana site plans move next phase,IAB12 News,0.25
gone warrior mode former gma host joan lunden reveals,IAB12 News,0.17
surface tablets could rebranded microsoft lumia tablets,IAB19 Technology & Computing,0.21
cisco launch 1b cloud service report,IAB19 Technology & Computing,0.4
jeopardy champion julia collins winning streak ends 400000 haul,IAB24 Uncategorized,0.13
spacex launch success dragon spacecraft reach international space,IAB20 Travel,0.52
wutang clan wants know rapper cut private part,IAB12 News,0.19
vinyl buoys record stores annual holiday general,IAB22 Shopping,0.13
reminder samsung galaxy s5 launching friday heres pre,IAB12 News,0.29
obama rule cuts coal dust mines 25,"IAB11 Law, Gov’t & Politics",0.29
prostrate cancer awareness month facts advice,IAB12 News,0.23
marketwired cuts highfrequency traders,IAB12 News,0.21
greece manufacturing pmi 7month low june,IAB3 Business,0.37
review james brown biopic get almost finds beat,IAB1 Arts & Entertainment,0.29
olivier awards first half roundup,IAB12 News,0.27
rare mono mono twins born ohio,IAB6 Family & Parenting,0.24
chromecast released uk 30,IAB19 Technology & Computing,0.29
facebook let say ads want,IAB24 Uncategorized,0.1
state rep carl sciortino step take first hiv positive head,"IAB11 Law, Gov’t & Politics",0.16
abc announces renewals cancellations series pickups,IAB12 News,0.4
toxic debt condemned crisis heralded europes savior,IAB12 News,0.23
met opera cancels klinghoffer simulcast,IAB1 Arts & Entertainment,0.2
keira knightley taps singing voice,IAB1 Arts & Entertainment,0.17
amazoncom amzn debuts kindle unlimited ebookaudiobook subscription,IAB22 Shopping,0.16
kirkland signature real sliced fruit recalled due possible health risk,IAB8 Food & Drink,0.53
beijing everything maintain hong kongs economic might li vows,IAB3 Business,0.37
chris evans laughs retirement reports captain america star chris,IAB12 News,0.38
overnight markets sp 500 closes 2000 first time,IAB3 Business,0.11
acdcs brian johnson denies breakup reports confirms band member illness,IAB19 Technology & Computing,0.26
canadian teen arrested stealing tax data heartbleed,IAB12 News,0.12
navy tuxedos,IAB18 Style & Fashion,0.35
oecd fears slowing growth rates emerging economies,IAB12 News,0.15
facebook listen everything listen,IAB14 Society,0.14
google introduce glucosesensing smart contact lenses video,IAB7 Health & Fitness,0.15
girl arrested tweeting terrorist threat joke american airlines,IAB20 Travel,0.45
california mayor center dog poop mess resigns,IAB16 Pets,0.27
bet awards stars arrive red carpet complete winners list,IAB12 News,0.16
international trio arrive iss following soyuz tma13m trip,IAB20 Travel,0.5
corporate inversions would burger king move legal headquarters,IAB3 Business,0.46
new jersey allow direct sales electric cars tesla motors prospects widen,IAB2 Automotive,0.42
twitter annual growth rate expected fall despite rise users report,IAB24 Uncategorized,0.12
justin bieber apologizes visiting japanese shrine honouring convicted war,IAB12 News,0.24
gold ends lower dollar strengthens,IAB24 Uncategorized,0.12
ceylan dedicates palme dor turkeys young victims,IAB16 Pets,0.14
wait dinosaurs arent coldblooded,IAB24 Uncategorized,0.46
giant inflatable colon west clinic promote awareness,IAB5 Education,0.24
macro horizons deflation fears loom europe,IAB3 Business,0.15
earnings drop jpmorgan chase drags bank stocks lower technology sector,IAB24 Uncategorized,0.15
ford doubling domestic plants,IAB10 Home & Garden,0.23
googles response right forgotten perfect,IAB24 Uncategorized,0.29
amazon fire phone case deals pop online retailer,IAB22 Shopping,0.22
conscious uncoupling means,IAB24 Uncategorized,0.24
masters federal bureaucracy scoff paying taxes,"IAB11 Law, Gov’t & Politics",0.3
macklemore apologises offensive costume,IAB1 Arts & Entertainment,0.2
worlds stage shakespeares globe launches hamlet tour every,IAB1 Arts & Entertainment,0.31
macaulay culkin quits gig crowd boos hurls beer,IAB1 Arts & Entertainment,0.18
silver price jumps threemonth high,IAB12 News,0.11
barbie doll actual human,IAB24 Uncategorized,0.16
mark zuckerberg facebook creative labs unbundling big blue app,IAB19 Technology & Computing,0.31
solarcitys purchase silevo could greatly expand plans solar panel plant,IAB3 Business,0.21
us ranks 94th 100 tax systems slovakia could teach irs,IAB14 Society,0.12
european taxis cause chaos app protest update,IAB20 Travel,0.35
bir reminds april 15 deadline income tax filing,IAB12 News,0.21
jurassic world pays tribute lord richard attenborough,IAB1 Arts & Entertainment,0.4
apple agrees 450 million settlement ebook suits,IAB3 Business,0.19
malaysian airlines says plane missing,IAB20 Travel,0.25
mighty morphin power rangers reboot dodge mmpr curse,IAB20 Travel,0.1
crowd storms fence injures guard ultra fest,IAB1 Arts & Entertainment,0.22
sxsw toronto little presence despite music city alliance,IAB17 Sports,0.36
around internet password fatigue setting,IAB24 Uncategorized,0.24
woman claims jetblue flight attendant forced 3yearold pee seat,IAB20 Travel,0.56
apple poaches tag heuer exec iwatch launch,IAB19 Technology & Computing,0.25
confirmation first potentially habitable earthsize planet,IAB12 News,0.49
jessica chastain probably wont star true detective unless thats clue,IAB24 Uncategorized,0.16
egyptian premier defends decision increase fuel prices,"IAB11 Law, Gov’t & Politics",0.25
noah ambitious disappointment,IAB24 Uncategorized,0.15
facebook launches mentions app celebrities,IAB1 Arts & Entertainment,0.15
fury brad pitt battles germans shia labeoufs moustache trailer,IAB17 Sports,0.43
allergy season high gear,IAB14 Society,0.13
microsofts ceo need mince words,IAB3 Business,0.24
top 5 things expect google android l,IAB19 Technology & Computing,0.24
new list addition help amazoncom amzn stock today,IAB22 Shopping,0.38
google celebrates rubiks cube 40th anniversary doodle play,IAB1 Arts & Entertainment,0.14
industry crib sheet chinese manufacturing us way,IAB3 Business,0.79
rob ford lindsay lohan disappearance truth,IAB12 News,0.19
malaysia says far red flags missing jet passenger,IAB20 Travel,0.33
find pokemon google maps app challenge see list 60,IAB16 Pets,0.17
samsung galaxy tab 84inch model vs apple ipad mini price specs,IAB19 Technology & Computing,0.36
ftc report shows data brokers collect store billions data elements,IAB3 Business,0.16
stocks fire dow close 17000,IAB3 Business,0.19
pharma leads markets boost next stage cycle,IAB3 Business,0.18
best samsung galaxy note 3 cases right,IAB19 Technology & Computing,0.25
2ndhalf turnaround seen urban outfitters urbn jefferies says,IAB3 Business,0.28
update barclays adjusted pretax profit falls beats consensus,IAB3 Business,0.43
missouri company recalls 4k lbs beef due mad cow fear,IAB12 News,0.31
emmy nominations predictions true detective orange new black,IAB1 Arts & Entertainment,0.23
update 2kroger offers 280 mln vitacostcom health play,IAB3 Business,0.29
siemens tables alstom counterbid,IAB15 Science,0.5
benzino speaks shot mothers funeral photos,IAB6 Family & Parenting,0.25
court appeals oks local gasdrilling bans,"IAB11 Law, Gov’t & Politics",0.26
stocks thin gains yellen coaxes banks fortify,IAB3 Business,0.28
forget godzilla facebook rolls dinosaur,IAB24 Uncategorized,0.26
searchers scour new area jet debris,IAB15 Science,0.54
maleficent teaser trailer banner show winged angelina jolie,IAB1 Arts & Entertainment,0.29
foxs cosmos dazzles debut,IAB1 Arts & Entertainment,0.16
marissa mayer didnt overpay bought tumblr 11 billion,IAB1 Arts & Entertainment,0.14
dj avicii avicii fine health scare,IAB12 News,0.25
data breach costs still unknown target ceo,IAB24 Uncategorized,0.66
ugly contest galaxy s5 beats lg g3 note 3 nexus 5 htc one m8,IAB20 Travel,0.12
billionaire google ceo thinks wont bad robots start taking,IAB19 Technology & Computing,0.22
pfizer eyes astrazeneca 100 billion acquisition,IAB3 Business,0.21
upper salmon river public fishing rights trouble dec responds rumor,IAB12 News,0.35
mh370 lost indian ocean sar resumes,IAB20 Travel,0.16
johnny depp confirms engagement shows ring,IAB12 News,0.21
oil rises near 110 barrel iraq violence,IAB20 Travel,0.13
children born three parents could soon reality,IAB6 Family & Parenting,0.34
pokemon challenge gotta catch em google maps,IAB16 Pets,0.21
jersey boys trailer another broadway classic attempts big screen glory,IAB1 Arts & Entertainment,0.61
nasas flying saucer test flight success,IAB15 Science,0.21
ysu addressing heartbleed,IAB14 Society,0.24
samsung galaxy tab uk preorders live pricing availability,IAB19 Technology & Computing,0.23
russia sets gas price china 350 per 1000 cubic meters,IAB3 Business,0.12
financial requirements illinois medical marijuana draft rules seen prohibitive,"IAB11 Law, Gov’t & Politics",0.27
gm reward dealers speed recalled vehicle repairs,IAB2 Automotive,0.18
deep sea octopus guards eggs four years,IAB15 Science,0.11
samsung denies theft claims,IAB19 Technology & Computing,0.38
khloe kardashian celebrating 30th birthday boyfriend french montana,IAB1 Arts & Entertainment,0.13
optional nearby friends feature android ios launched facebook,IAB24 Uncategorized,0.17
oprah coming prucenter weekend workshop,IAB1 Arts & Entertainment,0.3
lilo tells oprah shes done partying,IAB12 News,0.23
west nile discovered queens,IAB15 Science,0.13
west african authorities team ebola,IAB12 News,0.14
major events related departure target ceo gregg steinhafel,IAB3 Business,0.16
warrant issued singer anita baker,IAB12 News,0.19
michael schumachers medical documents stolen,IAB12 News,0.18
mila kunis new baby way,IAB6 Family & Parenting,0.3
mounties get man canadian heartbleed hacker nabbed,IAB12 News,0.19
supreme court looks befuddled aereo case,IAB24 Uncategorized,0.18
ackman didnt violate insidertrading rules allergan,IAB24 Uncategorized,0.13
brad pitt attacker says trying hug megastar,IAB17 Sports,0.18
justina pelletier heading home tomorrow,IAB20 Travel,0.37
ag schneiderman announces fraud charges barclays connection,IAB12 News,0.47
jay z beyonce run stylists speak stars involvement,IAB18 Style & Fashion,0.18
moto e coming tomorrow,IAB2 Automotive,0.41
fox publicist confirm colfer return glee network releases statement,IAB12 News,0.38
meat producer cargill close milwaukee beef plant due cattle shortage 600,IAB3 Business,0.35
popular music inundated references alcohol,IAB8 Food & Drink,0.19
ruby dee never forgot northeast ohio roots,IAB10 Home & Garden,0.09
hugh jackman talks next wolverine film skin cancer,IAB12 News,0.21
done deal mens wearhouse buy jos bank 18b video,IAB3 Business,0.44
least 78 dead ebola virus guinea,IAB12 News,0.15
unbearable lightness archie death kitsch,IAB24 Uncategorized,0.24
