text,iab_label,confidence
lg g watch launched 165 inch display android wear os,IAB19 Technology & Computing,0.2
googles android tv aim lower,IAB19 Technology & Computing,0.26
iar video tina fey ricky gervais ty burrell muppets talk muppets,IAB12 News,0.14
thailand nightlife curfew eases midnight4am fun returns phuket,IAB20 Travel,0.19
cancelcolbert defense matter tweeted stephens joke,IAB24 Uncategorized,0.14
fda proposes rules regulate electronic cigarettes,"IAB11 Law, Gov’t & Politics",0.23
jaggers goodbye lwren scott funeral,IAB20 Travel,0.34
lg expected launch g3 smartphone g watch may 27 event,IAB19 Technology & Computing,0.23
newhome sales us unexpectedly slump eightmonth low,IAB21 Real Estate,0.46
look inside sept 11 memorial,IAB24 Uncategorized,0.17
talk like shakespeare 450th birthday,IAB24 Uncategorized,0.18
mortgage settlement hits citigroup net income,IAB12 News,0.24
hercules movie rock takes legend trailer watch,IAB1 Arts & Entertainment,0.21
police say paul walker killed speed deadly crash,IAB12 News,0.26
ebay initially believed user data safe discovering breach,IAB3 Business,0.77
jada pinkett smith thinks looks better ever,IAB18 Style & Fashion,0.13
silicon valley ceos ranked employee approval see workers say,IAB19 Technology & Computing,0.28
looming street protests china test vietnam,IAB12 News,0.21
shhh seth rogen piece biebs something say,IAB3 Business,0.18
monster tour eminem rihanna dates released,IAB20 Travel,0.34
asteroids made easy,IAB24 Uncategorized,0.09
raw oysters spike us rise bacterial infections,IAB8 Food & Drink,0.15
trouble trace adkinss wife files divorce,IAB12 News,0.21
snapdeal valued 1 billion raising 100m funding,IAB3 Business,0.37
girls gone wild founder arrested assault charge report,IAB12 News,0.26
harrison ford injured star wars set airlifted hospital,IAB20 Travel,0.33
conjoined twins finally way home,IAB20 Travel,0.23
bayer cant claim aspirin prevent heart attack,IAB3 Business,0.64
rio 2 trailer,IAB2 Automotive,0.17
prince announces one two new studio albums,IAB12 News,0.42
us stocks snapshotwall st opens little changed sp near record,IAB12 News,0.15
singer katy perry sued copyright,IAB24 Uncategorized,0.12
3 indicted fatal ga train crash,IAB20 Travel,0.19
john oliver rails cable companies net neutrality,IAB24 Uncategorized,0.18
focus cancer local researchers fighting ovarian cancer,IAB14 Society,0.15
heaven depicts test faith,IAB23 Religion & Spirituality,0.61
twitter coo ali rowghani resigns twitter,IAB24 Uncategorized,0.11
new image rhino ahead final trailer amazing spiderman 2,IAB1 Arts & Entertainment,0.29
saudi replaces health minister mers toll rises,IAB14 Society,0.13
oil prices rising,IAB24 Uncategorized,0.18
brian williams raps gin juice tonight show,IAB8 Food & Drink,0.37
samsung galaxy note 4s qhd display confirmed uaprof,IAB19 Technology & Computing,0.29
true detective ultimately journey finale,IAB20 Travel,0.67
rosie odonnell cohost view,IAB12 News,0.07
amazon prime users get hbo content catch,IAB1 Arts & Entertainment,0.14
christie bridge prosecutors ask delay testimony,"IAB11 Law, Gov’t & Politics",0.12
