text,iab_label,confidence
yellen signals continued support low rates video,IAB12 News,0.16
google acquires songza music streaming service,IAB3 Business,0.2
yes apples new imac cheaper price,IAB12 News,0.23
gm sales eyed impact switch recall,IAB3 Business,0.3
walmart undercuts rivals new us money transfer service 2nd update,IAB3 Business,0.44
mcdonalds ruling could open door unions,IAB8 Food & Drink,0.43
american scientists create organism,IAB15 Science,0.55
roundup herbalife facing ftc inquiry investment bank agrees pay 25m,IAB7 Health & Fitness,0.27
stamfords sac capital fined 18b insider trading,IAB3 Business,0.24
gog summer sale offers 90 percent great games,IAB17 Sports,0.39
research ecigs affect bronchial cells similar cigarette smoke,IAB15 Science,0.29
rolf harris conviction australia reacts stars fall,IAB12 News,0.11
google plans abandon nexus smartphones tablets,IAB19 Technology & Computing,0.35
update morgan stanley reiterates urban outfitters position 2h upside,IAB12 News,0.27
hollywood playbook wednesdays top 5 news items,IAB12 News,0.65
marc anthony shell 26800 month child support,IAB6 Family & Parenting,0.58
fixed mortgage rates move,IAB12 News,0.18
stem cells made skin safely grow new bone monkeys first time,IAB15 Science,0.24
cdc announces first case mers us,IAB12 News,0.42
lebron james signs push beats powerbeats2,IAB17 Sports,0.65
malaysia airlines flight 370 crash fuel starvation,IAB12 News,0.19
amazon defends policy inapp purchases made kids,IAB6 Family & Parenting,0.27
gotham trailer pups chicks kittens back,IAB16 Pets,0.52
broadway actress elaine stritch dies 89,IAB1 Arts & Entertainment,0.44
high street chain zara apologise holocaust childrens wear,IAB22 Shopping,0.2
colbert stops letterman takes selfie reads top 10 list wrote 1997,IAB12 News,0.07
video novartis joins google make smart contact lens,IAB19 Technology & Computing,0.34
traditional retailers fear amazons fire phone,IAB3 Business,0.19
chris colfer says ive fired glee,IAB12 News,0.24
facebook wants know youre watching listening,IAB14 Society,0.13
nbc turns power revolution,IAB12 News,0.59
readers blast kimye vogue cover,IAB18 Style & Fashion,0.29
mumps outbreak ohio state could increase,IAB12 News,0.21
fault stars clip features shailene woodley ansel elgort,IAB1 Arts & Entertainment,0.14
epa proposal says washington must cut power plant emissions 72,"IAB11 Law, Gov’t & Politics",0.29
ftc says tmobile let text message scams run wild,IAB20 Travel,0.11
