text,iab_label,confidence
boycott beverly hills haunt city confronts brunei owners,IAB3 Business,0.21
sanofi lilly partner pursue otc cialis,IAB3 Business,0.17
singapore bans archie gay marriage issue,"IAB11 Law, Gov’t & Politics",0.27
walter dean myers bestselling childrens author dead 76,IAB6 Family & Parenting,0.13
ftc settles fandango credit karma ssl issues mobile apps,IAB19 Technology & Computing,0.18
johnny depp testify murder trial,IAB12 News,0.18
devon sell oil gas assets linn energy,IAB3 Business,0.45
samuel l jackson insists something went terrible awry cause harrison,IAB12 News,0.13
herbalife faces fbi bharara new york state probes,IAB3 Business,0.59
jj abrams posts message star wars cast,IAB1 Arts & Entertainment,0.34
malaysia airlines plane crash investigated flight mh17 goes grabovo,IAB12 News,0.27
google adult ad ban effect,IAB24 Uncategorized,0.2
total gm vehicle recalls 2014 hits 48 million,IAB2 Automotive,0.48
first cases chikungunya virus spread mosquitoes reported us,IAB12 News,0.52
gm recalls 500000 camaros issue ignition switches,IAB2 Automotive,0.64
malaysia flight 370 satellite data noise,IAB20 Travel,0.13
kim kardashian returns blonde hair baaaaack,IAB18 Style & Fashion,0.2
captain america powers way top box office,IAB1 Arts & Entertainment,0.58
first look new batmobile,IAB2 Automotive,0.55
apple samsung trade final barbs rival damage figures,IAB19 Technology & Computing,0.39
bryan cranston channels walter white help fan get prom date,IAB17 Sports,0.22
jennifer garner ben affleck want healthy couple,IAB12 News,0.13
investigators speed drugs racing mechanical failure killed paul,IAB17 Sports,0.29
ibm spend 3b chip research five years,IAB19 Technology & Computing,0.36
microsoft unveil office ipad later month,IAB19 Technology & Computing,0.58
taylor swift tops billboards 2013 money makers list,IAB3 Business,0.19
microsoft close xbox television studio,IAB19 Technology & Computing,0.43
net neutrality may soon paying internet,IAB24 Uncategorized,0.25
see supermoon friday saturday night,IAB15 Science,0.17
change ebay password,IAB3 Business,0.23
dylans like rolling stone draft sells 2m ktvn channel 2 reno tahoe,IAB12 News,0.11
twitter removed music service app store shutting next,IAB24 Uncategorized,0.26
national law review reverse mortgages beyond commercials,IAB24 Uncategorized,0.26
hugh jackman forgets warn daughter naked xmen scene,IAB1 Arts & Entertainment,0.34
lowbudget ryanair launches businessclass,IAB3 Business,0.54
potsdam united methodist church worship music easter,IAB23 Religion & Spirituality,0.28
david brockie fans devastated gwar singers death,IAB1 Arts & Entertainment,0.45
toyota revamps camrys looks maintain us car volume edge,IAB2 Automotive,0.3
lwren scott funeral mick jagger family ellen barkin among mourners,IAB6 Family & Parenting,0.11
2014 xtreme eating awards chain restaurants gutbusting meals,IAB8 Food & Drink,0.18
pistorius obsessed security,IAB16 Pets,0.3
new satellite data help locate flight 370,IAB12 News,0.22
miley cyrus reveals brought homeless man date,IAB12 News,0.33
gwyneth paltrows mom blythe danner upset chris martin split,IAB6 Family & Parenting,0.44
tmobile give free iphone try week,IAB19 Technology & Computing,0.22
ucla campus water,IAB24 Uncategorized,0.16
sofia coppola helm liveaction film little mermaid,IAB1 Arts & Entertainment,0.6
lea micheles kids choice awards dress pretty pink,IAB18 Style & Fashion,0.39
ham radio operators show art communication field day,IAB1 Arts & Entertainment,0.11
strength microsofts surface pro 3 great tablet functional laptop,IAB19 Technology & Computing,0.62
driverless cars could britains streets january,IAB2 Automotive,0.43
watch lindsay lohan billy eichner destroy met mother car,IAB2 Automotive,0.53
kim kardashian kanye west enjoy secret date nights home,IAB1 Arts & Entertainment,0.14
sun heats protect skin cancer,IAB24 Uncategorized,0.14
game thrones scene wasnt turnon rape,IAB1 Arts & Entertainment,0.41
encana teca selling us natural gas assets us18 billion,IAB3 Business,0.46
wall street continues shed gains,IAB3 Business,0.21
first impressions microsoft office ipad,IAB19 Technology & Computing,0.66
