text,iab_label,confidence
us accuses china cyber espionage cyberspying case,IAB14 Society,0.15
eminem apologizes mom mothers day watch headlights music video,IAB6 Family & Parenting,0.3
gm adds 971000 cars ignition recall,IAB2 Automotive,0.53
young dads risk postpartum depression study says,IAB6 Family & Parenting,0.25
rob kardashian left kims wedding,IAB6 Family & Parenting,0.1
watch incredible black bear save cub highway traffic,IAB20 Travel,0.43
lenovo confident ibm mobility deals completed 2014,IAB19 Technology & Computing,0.17
stocks open mixed deal news lifts covidien,IAB12 News,0.44
brittany kerr jason aldean dating,IAB12 News,0.11
lana del rey sang kimye wedding free,IAB1 Arts & Entertainment,0.24
channing tatums hair evolution,IAB15 Science,0.24
voice season 6 recap videos march 10 episode live blog,IAB12 News,0.12
unicredit focus growth shock loss,IAB24 Uncategorized,0.64
kerry washingtons bright coral nails bet awards get exact look,IAB18 Style & Fashion,0.16
tesla add triple underbody shield better fire protection magnificent,IAB2 Automotive,0.18
mtv movie awards conan ditches andy richter teams ice cube instead,IAB1 Arts & Entertainment,0.15
forex eurusd gains imf trims us growth forecast,IAB12 News,0.17
james franco seth rogens new kim jongun assassination film,IAB1 Arts & Entertainment,0.31
tom cruise laura prepon dating,IAB20 Travel,0.7
ipad sales slump although iphone growth continues,IAB19 Technology & Computing,0.2
movie review transcendence like clunky ted talk,IAB24 Uncategorized,0.31
blood donations needed,IAB24 Uncategorized,0.19
toyotas hydrogen fuelcell car coming us 2015,IAB2 Automotive,0.33
intel relentlessly advancing towards mobile goals intc,IAB19 Technology & Computing,0.65
swiss chocolatemaker lindt buy russell stover,IAB8 Food & Drink,0.36
miley cyrus fans need repurchase tickets makeup show,IAB1 Arts & Entertainment,0.44
us stocks sink nasdaq 13,IAB3 Business,0.15
phantom tech firm worth billions inexplicably,IAB24 Uncategorized,0.34
nikkei scales 6month high weaker yen robust earnings,IAB12 News,0.17
yay today international day happiness,IAB12 News,0.2
neil degrasse tysons cosmos say religion,IAB23 Religion & Spirituality,0.26
aereo supreme court preview dominic patten podcast,IAB16 Pets,0.14
kaley cuoco talks henry cavill paparazzi wedding johnny galecki,IAB12 News,0.31
okcupids love games stack facebooks infamous experiment,IAB9 Hobbies & Interests,0.15
newton soc platform could power android wearables,IAB14 Society,0.25
lindsay lohan make stage debut london speedtheplow,IAB1 Arts & Entertainment,0.27
heartbleed bug illicitly retrieves passwords,IAB19 Technology & Computing,0.2
paltrows mom upset uncoupling news,IAB12 News,0.52
miranda lambert talks platinum thoughts bonus tracks,IAB12 News,0.09
party two priceline picks opentable 26 billion,IAB20 Travel,0.16
cisco csco plans massive global intercloud push invest 1b mstr,IAB19 Technology & Computing,0.67
2014 emmy awards 6 standout moments breaking bad vs true detective,IAB1 Arts & Entertainment,0.29
apple loses bid show patent use trial,IAB3 Business,0.15
casey kasem dies age 82 widow jean kasem found guilty,IAB12 News,0.11
moment weve waiting ryan gosling arrived cannes,IAB12 News,0.11
justin bieber racist nword controversy continues one less lonely ngger,IAB12 News,0.48
apple updates macbook pro wheres retina macbook air,IAB19 Technology & Computing,0.46
comparison samsung galaxy s4 google nexus 5,IAB19 Technology & Computing,0.38
samsung galaxy note 4 phablet comes curve flat version,IAB19 Technology & Computing,0.21
marquez dominates texas motogp practice,IAB17 Sports,0.57
pandora media inc raises monthly fee premium service,IAB3 Business,0.24
us dollar usd exchange rate forecast rally rand weak,IAB12 News,0.15
youll never communicate way iphone,IAB24 Uncategorized,0.26
mozilla officials support lgbt inclusion,IAB19 Technology & Computing,0.28
windows 9 refocus desktop,IAB24 Uncategorized,0.16
ecb monitors impact antideflationary steps,IAB3 Business,0.22
hilton rolls curio collection hotels,IAB9 Hobbies & Interests,0.28
ukraine leader says airline crash terrorist act,IAB20 Travel,0.24
total inadequacy feds new tools,IAB24 Uncategorized,0.22
italian astronauts spaceify coffee maker use aboard iss,IAB8 Food & Drink,0.45
research examines pain among soldiers,IAB15 Science,0.4
intuit 4 fyq3 beats q4 view misses,IAB19 Technology & Computing,0.33
google top company pay benefits,IAB3 Business,0.24
ford recalls almost 700000 vehicles fix air bags,IAB2 Automotive,0.41
major averages lingering near unchanged line early trading,IAB24 Uncategorized,0.16
novartis heart drug people took lcz696 lived longer,IAB15 Science,0.14
david muir replace diane sawyer abc world news anchor,IAB12 News,0.61
mara wilson interest mrs doubtfire 2,IAB9 Hobbies & Interests,0.24
australians examine new leads links missing malaysian airlines jet,IAB20 Travel,0.22
samsung galaxy note 4 specs purportedly leaked,IAB19 Technology & Computing,0.24
avastin chemo gets priority review cervical cancer rhhby,IAB12 News,0.15
colin kaepernick refutes sexual assault allegation,IAB17 Sports,0.24
happened kim kardashian scores vogue cover,IAB12 News,0.34
alternative colonoscopy though ick factor,IAB24 Uncategorized,0.23
un experts predict higher temperatures hunger,IAB24 Uncategorized,0.32
2014s xtreme restaurant meal monster,IAB8 Food & Drink,0.6
update latest business,IAB3 Business,0.63
hedge fund manager reaping fannie windfall rival big short,IAB3 Business,0.18
us movie studios seek 175 megaupload illegallykept copyright,IAB3 Business,0.2
home loans pnc bank refinance mortgage rates mar 18,IAB21 Real Estate,0.22
oculus goggles became virtual reality,IAB19 Technology & Computing,0.18
facebook manipulated users emotions,IAB24 Uncategorized,0.14
federal drug administration issue guidelines lowering sodium levels food,IAB12 News,0.23
bullying tremendous effect children later stages life,IAB24 Uncategorized,0.14
scholastic medias magic school bus continues legacy magic,IAB5 Education,0.46
deliver us evil delivers scares,IAB24 Uncategorized,0.18
ariana grande unveils break free featuring zedd banger listen,IAB1 Arts & Entertainment,0.31
lupita nyongo named peoples beautiful 2014,IAB12 News,0.11
kristen stewarts latest reinvention bid actress assistant,IAB4 Careers,0.18
china denies hacking tech firm,IAB19 Technology & Computing,0.4
kim k fears raising daughter world racism still alive,IAB6 Family & Parenting,0.26
economy shrank almost 3 percent q1 holy guacamole,IAB8 Food & Drink,0.19
selena gomez vs victoria justice wore,IAB12 News,0.11
bugcrowd launches openssl bug bounty campaign search next,IAB19 Technology & Computing,0.14
tv ratings game thrones loses steam second week,IAB17 Sports,0.26
toyota fq4 net profit slips 54,IAB2 Automotive,0.1
video watch music video tony bennett lady gagas anything goes,IAB24 Uncategorized,0.26
pc market 2014 bit less dire previously thought,IAB13 Personal Finance,0.29
gmail encryption meant frustrate nsa spying activities,IAB19 Technology & Computing,0.14
bachelorette creator eric hill death handled sensitive way,IAB1 Arts & Entertainment,0.36
