text,iab_label,confidence
microsoft sap announce expanded global partnership cloud data mobile,IAB19 Technology & Computing,0.28
new planet found solar system,IAB12 News,0.52
competition commission fines google rs 1 crore,IAB19 Technology & Computing,0.24
fleetwood mac announces tour rejoining member christine mcvie,IAB20 Travel,0.4
asteroids hurling toward earth scientists arent tracking yet,IAB24 Uncategorized,0.26
general motors safety crisis gets even deeper,IAB2 Automotive,0.21
asus teases new thin device search incredible event video,IAB19 Technology & Computing,0.13
theater review idina menzel shines ifthen,IAB1 Arts & Entertainment,0.64
twitter share price company poised strong user growth asia,IAB3 Business,0.16
auto sales rise july track best month since 2006,IAB2 Automotive,0.48
video inside kim kardashian kanye wests private mexican getaway,IAB20 Travel,0.56
verizon att confirmed htc one 2014 release date revealed,IAB20 Travel,0.17
first 8 minutes veronica mars explained newbie marshmallow,IAB24 Uncategorized,0.11
titanfall xbox one pc patch resolves server issues ahead todays launch,IAB19 Technology & Computing,0.34
eurusd keeps range draghi,IAB20 Travel,0.08
watch next weeks total lunar eclipse,IAB15 Science,0.21
boy band new kids block gets reality show,IAB1 Arts & Entertainment,0.48
gwyneth paltrows ex boyfriend donovan leitch talks kiss following split,IAB12 News,0.19
eurusd consolidates around 13750,IAB23 Religion & Spirituality,0.11
analysis bank england shakeup may trigger ratesetter changes,IAB3 Business,0.41
spacex plans multiple reusable booster tests,IAB20 Travel,0.32
cereal may healthy choice youre pregnant,IAB6 Family & Parenting,0.34
watch scandal season 3 episode 15 live stream online happen,IAB12 News,0.18
george rr martin offended fans wonder hell live finish song ice,IAB1 Arts & Entertainment,0.2
5 seconds summer debut album breaks us records soar,IAB1 Arts & Entertainment,0.23
cannes 2014 turkish drama winter sleep wins palme dor,IAB1 Arts & Entertainment,0.49
jury selection begins apple vs samsung round 2,IAB17 Sports,0.29
game thrones author gives fan 30000 gift,IAB1 Arts & Entertainment,0.54
firsttweet tool helps users relive twitter debut,IAB12 News,0.08
google help samsung pay fees apple lawsuit,IAB19 Technology & Computing,0.23
original star wars stars harrison ford mark hamill carrie fisher officially,IAB1 Arts & Entertainment,0.44
pamela anderson files yet another divorce finally earns free one,IAB6 Family & Parenting,0.17
kim kardashian kanye west keep fans guessing wedding,IAB24 Uncategorized,0.21
apple slashes macbook pro price india rs 11000,IAB19 Technology & Computing,0.35
neighbors tops amazing spiderman 2 weekend box office 511,IAB1 Arts & Entertainment,0.57
committee backs marchione,IAB14 Society,0.09
govt strengthen domestic manufacturing solar sector mr goyal,IAB3 Business,0.17
apples new exec granted restricted stock,IAB3 Business,0.12
probe done circus accident feds get evidence,IAB24 Uncategorized,0.12
artificial cooling tricky topic climate panel,IAB24 Uncategorized,0.39
lost river cannes review,IAB24 Uncategorized,0.13
kim kardashian kanye west officially married ireland,IAB12 News,0.18
11 muppet memories,IAB16 Pets,0.29
twitter apes facebook photocentric redesign,IAB24 Uncategorized,0.19
gm recalling chevrolet camaros ignition switch problem,IAB2 Automotive,0.47
microsoft share price next week mark turning point surface,IAB19 Technology & Computing,0.3
crises iraq elsewhere send oil prices soaring,IAB12 News,0.23
voice confirms adam blake join gwen pharrell season 7,IAB1 Arts & Entertainment,0.14
google eyeing 30b foreign buyouts,IAB3 Business,0.3
steam machines 2015,IAB24 Uncategorized,0.11
chinese tycoon treats new yorks homeless lunchtime feast,IAB8 Food & Drink,0.37
new service business customers ryanair,IAB3 Business,0.58
jetblue apologizes newton mother mistreatment flight,IAB20 Travel,0.5
doctors group advises routine pelvic exams,IAB12 News,0.16
