text,iab_label,confidence
Easy zrazy dish for beginners,IAB24 Uncategorized,0.13
How to pronounce Bangladeshi?,IAB24 Uncategorized,0.2
How to cook jollof rice?,IAB8 Food & Drink,0.25
Top 10 Vietnamese dishes to eat before you die,IAB8 Food & Drink,0.28
How many calories in sushi?,IAB8 Food & Drink,0.54
Side dishes that go well with Persian,IAB8 Food & Drink,0.13
Arepas vs tamales: what’s the difference?,IAB8 Food & Drink,0.53
How many calories in falafel?,IAB8 Food & Drink,0.33
Best sauerbraten recipes to try at home,IAB8 Food & Drink,0.21
How to cook laksa?,IAB8 Food & Drink,0.62
How to cook Spanish?,IAB24 Uncategorized,0.14
What to eat with Ethiopian?,IAB8 Food & Drink,0.22
Why do Vietnamese eat broken rice dishes?,IAB8 Food & Drink,0.16
Vegan alternative for Japanese,IAB24 Uncategorized,0.1
What to eat with thieboudienne?,IAB8 Food & Drink,0.21
Side dishes that go well with couscous,IAB8 Food & Drink,0.15
Traditional Nepali food for festivals,IAB8 Food & Drink,0.53
What to drink with spicy Thai curries,IAB8 Food & Drink,0.45
Best drinks to pair with spicy Ethiopian tibs,IAB8 Food & Drink,0.31
What are the ingredients in pierogi?,IAB8 Food & Drink,0.41
Easy paella dish for beginners,IAB8 Food & Drink,0.55
Why is injera used as a plate in Ethiopian meals?,IAB8 Food & Drink,0.16
Why is hoppers a national dish?,IAB8 Food & Drink,0.35
What are the ingredients in butter chicken?,IAB8 Food & Drink,0.29
What drink pairs well with Ethiopian kitfo?,IAB8 Food & Drink,0.3
Top 10 banh mi dishes to eat before you die,IAB8 Food & Drink,0.51
What to eat with Moroccan?,IAB8 Food & Drink,0.18
Easy Greek dish for beginners,IAB8 Food & Drink,0.47
Why is callaloo a national dish?,IAB8 Food & Drink,0.4
How many calories in risotto?,IAB8 Food & Drink,0.29
Best Pakistani recipes to try at home,IAB8 Food & Drink,0.14
How to make Algerian rechta for Eid,IAB23 Religion & Spirituality,0.25
How to cook Libyan bazin dough,IAB8 Food & Drink,0.19
Regional bread types served in Moroccan meals,IAB8 Food & Drink,0.26
What makes French so popular?,IAB24 Uncategorized,0.16
Spices used in ramen cuisine,IAB8 Food & Drink,0.49
Why is risotto a national dish?,IAB8 Food & Drink,0.33
Spices used in Persian cuisine,IAB8 Food & Drink,0.12
Best German recipes to try at home,IAB10 Home & Garden,0.12
How to use za'atar in Palestinian cuisine,IAB8 Food & Drink,0.16
Best flour for fluffy American pancakes,IAB8 Food & Drink,0.35
Why is bo kho a national dish?,IAB8 Food & Drink,0.38
How to pronounce meat pie?,IAB8 Food & Drink,0.32
Ingredients in traditional Georgian khachapuri,IAB8 Food & Drink,0.39
How to make Cambodian kuy teav broth,IAB8 Food & Drink,0.69
Top 10 Japanese dishes to eat before you die,IAB8 Food & Drink,0.36
What to eat with Indian?,IAB8 Food & Drink,0.26
How many calories in Thai?,IAB8 Food & Drink,0.42
Top 10 Italian dishes to eat before you die,IAB8 Food & Drink,0.44
Steps for making a Korean bibim guksu salad,IAB8 Food & Drink,0.46
Most popular picnic foods in the UK,IAB8 Food & Drink,0.2
Best bread to eat with Balkan ajvar,IAB8 Food & Drink,0.33
Top 10 feijoada dishes to eat before you die,IAB8 Food & Drink,0.24
Garnishes for Indian dal dishes,IAB8 Food & Drink,0.49
How to cook gumbo?,IAB8 Food & Drink,0.37
Vegan alternative for Ethiopian,IAB24 Uncategorized,0.1
Spices used in banh mi cuisine,IAB8 Food & Drink,0.23
Vegan alternative for biryani,IAB8 Food & Drink,0.63
Vegan alternative for ramen,IAB8 Food & Drink,0.71
How to cook Brazilian?,IAB8 Food & Drink,0.18
How to cook Somali canjeero at home,IAB8 Food & Drink,0.11
Vegan alternative for Brazilian,IAB8 Food & Drink,0.09
Easy moussaka dish for beginners,IAB8 Food & Drink,0.27
How to pronounce fish amok?,IAB24 Uncategorized,0.31
How to bake traditional Irish soda bread,IAB8 Food & Drink,0.49
Side dishes that go well with laksa,IAB8 Food & Drink,0.35
What spices go in Egyptian fava bean stew?,IAB8 Food & Drink,0.26
Top 10 Moroccan dishes to eat before you die,IAB8 Food & Drink,0.32
Spices used in ceviche cuisine,IAB8 Food & Drink,0.56
Best rogan josh recipes to try at home,IAB8 Food & Drink,0.21
How to pronounce ramen?,IAB8 Food & Drink,0.61
How to pronounce meze?,IAB8 Food & Drink,0.2
Top desserts from Iranian cuisine,IAB8 Food & Drink,0.37
What to serve with beef stew for dinner,IAB8 Food & Drink,0.22
How to use coconut oil in Pacific Islander cooking,IAB5 Education,0.13
How to pronounce bo kho?,IAB24 Uncategorized,0.19
How to make Haitian joumou soup,IAB8 Food & Drink,0.61
How to serve Thai larb with sticky rice,IAB8 Food & Drink,0.23
How to pronounce moussaka?,IAB8 Food & Drink,0.27
Is pho healthy?,IAB8 Food & Drink,0.56
What to eat with Greek?,IAB8 Food & Drink,0.3
How to cook paella?,IAB8 Food & Drink,0.48
Top condiments used in Caribbean cooking,IAB8 Food & Drink,0.11
How to make Filipino sinigang with tamarind,IAB8 Food & Drink,0.41
How to prepare okonomiyaki from scratch,IAB8 Food & Drink,0.66
What to eat with jollof rice?,IAB8 Food & Drink,0.27
What makes Sri Lankan so popular?,IAB24 Uncategorized,0.14
