text,confidence,iab_label
disease 0–9,0.85,IAB7 Health & Fitness
disease lists of animal diseases,0.85,IAB7 Health & Fitness
disease autoimmune diseases,0.85,IAB7 Health & Fitness
disease cancer types,0.85,IAB7 Health & Fitness
disease childhood diseases and disorders,0.85,IAB7 Health & Fitness
disease endocrine diseases,0.85,IAB7 Health & Fitness
disease eponymous diseases,0.85,IAB7 Health & Fitness
disease eye diseases and disorders,0.85,IAB7 Health & Fitness
disease intestinal diseases,0.85,IAB7 Health & Fitness
disease infectious diseases,0.85,IAB7 Health & Fitness
disease human disease case fatality rates,0.85,IAB7 Health & Fitness
"disease notifiable diseases– diseases that should be reported topublic healthservices, e.g., hospitals.",0.85,IAB7 Health & Fitness
disease lists of plant diseases,0.85,IAB7 Health & Fitness
disease pollution-related diseases,0.85,IAB7 Health & Fitness
disease skin conditions,0.85,IAB7 Health & Fitness
disease diseases by year of discovery,0.85,IAB7 Health & Fitness
disease communication disorders,0.85,IAB7 Health & Fitness
disease genetic disorders,0.85,IAB7 Health & Fitness
disease heart disorders,0.85,IAB7 Health & Fitness
disease liver disorders,0.85,IAB7 Health & Fitness
disease neurological conditions and disorders,0.85,IAB7 Health & Fitness
disease mental disorderslist of eating disorderslist of mood disorderslist of personality disorders,0.85,IAB7 Health & Fitness
disease voice disorders,0.85,IAB7 Health & Fitness
disease vulvovaginal disorders,0.85,IAB7 Health & Fitness
disease eating disorders,0.85,IAB7 Health & Fitness
disease mood disorders,0.85,IAB7 Health & Fitness
disease personality disorders,0.85,IAB7 Health & Fitness
disease category:diseases and disorders,0.85,IAB7 Health & Fitness
disease category:lists of diseases,0.85,IAB7 Health & Fitness
disease disorders,0.85,IAB7 Health & Fitness
disease syndromes,0.85,IAB7 Health & Fitness
disease abbreviations for diseases and disorders,0.85,IAB7 Health & Fitness
"disease fictional diseases, diseases found only in works of fiction.",0.85,IAB7 Health & Fitness
"disease airborne disease, a disease that spreads through the air.",0.85,IAB7 Health & Fitness
"disease contagious disease, a subset of infectious diseases.",0.85,IAB7 Health & Fitness
"disease cryptogenic disease, a disease whose cause is currently unknown.",0.85,IAB7 Health & Fitness
"disease disseminated disease, a disease that is spread throughout the body.",0.85,IAB7 Health & Fitness
disease environmental disease,0.85,IAB7 Health & Fitness
"disease lifestyle disease, a disease caused largely by lifestyle choices.",0.85,IAB7 Health & Fitness
"disease localized disease, a disease affecting one body part or area.",0.85,IAB7 Health & Fitness
"disease non-communicable disease, a disease that can not be spread between people.",0.85,IAB7 Health & Fitness
disease organic disease,0.85,IAB7 Health & Fitness
"disease progressive disease, a disease that gets worse over time.",0.85,IAB7 Health & Fitness
"disease rare disease, a disease that affects very few people.",0.85,IAB7 Health & Fitness
"disease systemic disease, a disease affecting the whole body.",0.85,IAB7 Health & Fitness
"disease rare diseasesfromhealth on the net foundation, available in several languages",0.85,IAB7 Health & Fitness
disease rare diseases and related termsfromnational institutes of health,0.85,IAB7 Health & Fitness
disease search for a rare diseasefromorphanet,0.85,IAB7 Health & Fitness
disease diseasesfrom biomedical entity network,0.85,IAB7 Health & Fitness
exercise sports activities for exercising,0.85,IAB7 Health & Fitness
exercise athletics(ex.pole vault) as a form of exercise,0.85,IAB7 Health & Fitness
exercise footballas an exercise,0.85,IAB7 Health & Fitness
exercise medicine portal,0.85,IAB7 Health & Fitness
exercise society portal,0.85,IAB7 Health & Fitness
exercise sports portal,0.85,IAB7 Health & Fitness
exercise active living,0.85,IAB7 Health & Fitness
exercise behavioural change theories,0.85,IAB7 Health & Fitness
exercise bodybuilding,0.85,IAB7 Health & Fitness
exercise cyclability,0.85,IAB7 Health & Fitness
exercise exercise hypertension,0.85,IAB7 Health & Fitness
exercise exercise intensity,0.85,IAB7 Health & Fitness
exercise exercise intolerance,0.85,IAB7 Health & Fitness
exercise exercise-induced anaphylaxis,0.85,IAB7 Health & Fitness
exercise exercise-induced asthma,0.85,IAB7 Health & Fitness
exercise exercise-induced nausea,0.85,IAB7 Health & Fitness
exercise green exercise,0.85,IAB7 Health & Fitness
exercise kinesiology,0.85,IAB7 Health & Fitness
exercise metabolic equivalent,0.85,IAB7 Health & Fitness
exercise neurobiological effects of physical exercise,0.85,IAB7 Health & Fitness
exercise non-exercise associated thermogenesis,0.85,IAB7 Health & Fitness
exercise supercompensation,0.85,IAB7 Health & Fitness
exercise unilateral training,0.85,IAB7 Health & Fitness
exercise walkability,0.85,IAB7 Health & Fitness
exercise warming up,0.85,IAB7 Health & Fitness
exercise definitionsfrom wiktionary,0.85,IAB7 Health & Fitness
exercise mediafrom commons,0.85,IAB7 Health & Fitness
exercise quotationsfrom wikiquote,0.85,IAB7 Health & Fitness
