text,confidence,iab_label
programming language alphabetical,0.85,IAB19 Technology & Computing
programming language categorical,0.85,IAB19 Technology & Computing
programming language chronological,0.85,IAB19 Technology & Computing
programming language generational,0.85,IAB19 Technology & Computing
programming language 0–9,0.85,IAB19 Technology & Computing
programming language see also,0.85,IAB19 Technology & Computing
programming language a.net (a#/a sharp),0.85,IAB19 Technology & Computing
programming language a-0 system,0.85,IAB19 Technology & Computing
programming language a+ (a plus),0.85,IAB19 Technology & Computing
programming language abap,0.85,IAB19 Technology & Computing
programming language abc,0.85,IAB19 Technology & Computing
programming language acc,0.85,IAB19 Technology & Computing
programming language accent (rational synergy),0.85,IAB19 Technology & Computing
programming language action!,0.85,IAB19 Technology & Computing
programming language actionscript,0.85,IAB19 Technology & Computing
programming language actor,0.85,IAB19 Technology & Computing
programming language ada–iso/iec 8652,0.85,IAB19 Technology & Computing
programming language adenine (haystack),0.85,IAB19 Technology & Computing
programming language advpl,0.85,IAB19 Technology & Computing
programming language agda,0.85,IAB19 Technology & Computing
programming language agilent vee(keysight vee),0.85,IAB19 Technology & Computing
programming language agora,0.85,IAB19 Technology & Computing
programming language aimms,0.85,IAB19 Technology & Computing
programming language aldor,0.85,IAB19 Technology & Computing
programming language alef,0.85,IAB19 Technology & Computing
programming language algebraic logic functional programming language(alf),0.85,IAB19 Technology & Computing
programming language algol 58,0.85,IAB19 Technology & Computing
programming language algol 60,0.85,IAB19 Technology & Computing
programming language algol 68,0.85,IAB19 Technology & Computing
programming language algol w,0.85,IAB19 Technology & Computing
programming language alice ml,0.85,IAB19 Technology & Computing
programming language alma-0,0.85,IAB19 Technology & Computing
programming language ambienttalk,0.85,IAB19 Technology & Computing
programming language amiga e,0.85,IAB19 Technology & Computing
programming language ampl,0.85,IAB19 Technology & Computing
programming language analitik,0.85,IAB19 Technology & Computing
programming language angelscript,0.85,IAB19 Technology & Computing
programming language apache pig latin,0.85,IAB19 Technology & Computing
"programming language apex (salesforce.com, inc)",0.85,IAB19 Technology & Computing
programming language apl,0.85,IAB19 Technology & Computing
programming language app inventor for android's visual block language (mit app inventor),0.85,IAB19 Technology & Computing
programming language applescript,0.85,IAB19 Technology & Computing
programming language apt,0.85,IAB19 Technology & Computing
programming language arc,0.85,IAB19 Technology & Computing
programming language arkts,0.85,IAB19 Technology & Computing
programming language arexx,0.85,IAB19 Technology & Computing
programming language argus,0.85,IAB19 Technology & Computing
programming language assembly language(asm),0.85,IAB19 Technology & Computing
programming language assemblyscript,0.85,IAB19 Technology & Computing
programming language ats,0.85,IAB19 Technology & Computing
programming language autohotkey,0.85,IAB19 Technology & Computing
programming language autoit,0.85,IAB19 Technology & Computing
"programming language autolisp, visual lisp",0.85,IAB19 Technology & Computing
programming language averest,0.85,IAB19 Technology & Computing
programming language awk,0.85,IAB19 Technology & Computing
programming language axum,0.85,IAB19 Technology & Computing
programming language babbage,0.85,IAB19 Technology & Computing
programming language ballerina,0.85,IAB19 Technology & Computing
programming language bash,0.85,IAB19 Technology & Computing
programming language basic,0.85,IAB19 Technology & Computing
programming language batch file (windows/ms-dos),0.85,IAB19 Technology & Computing
programming language bc (basic calculator),0.85,IAB19 Technology & Computing
programming language bcpl,0.85,IAB19 Technology & Computing
programming language beanshell,0.85,IAB19 Technology & Computing
programming language beta,0.85,IAB19 Technology & Computing
programming language bliss,0.85,IAB19 Technology & Computing
programming language blockly,0.85,IAB19 Technology & Computing
programming language bloop,0.85,IAB19 Technology & Computing
programming language boo,0.85,IAB19 Technology & Computing
programming language boomerang,0.85,IAB19 Technology & Computing
programming language bosque,0.85,IAB19 Technology & Computing
programming language c– iso/iec 9899,0.85,IAB19 Technology & Computing
programming language c--(c minus minus),0.85,IAB19 Technology & Computing
programming language c++(c plus plus) – iso/iec 14882,0.85,IAB19 Technology & Computing
programming language c*,0.85,IAB19 Technology & Computing
programming language c#(c sharp) – iso/iec 23270,0.85,IAB19 Technology & Computing
programming language c/al,0.85,IAB19 Technology & Computing
programming language caché objectscript,0.85,IAB19 Technology & Computing
programming language c shell (csh),0.85,IAB19 Technology & Computing
programming language caml,0.85,IAB19 Technology & Computing
programming language carbon,0.85,IAB19 Technology & Computing
programming language catrobat,0.85,IAB19 Technology & Computing
programming language cayenne (lennart augustsson),0.85,IAB19 Technology & Computing
programming language cecil,0.85,IAB19 Technology & Computing
programming language cesil (computer education in schools instruction language),0.85,IAB19 Technology & Computing
programming language céu,0.85,IAB19 Technology & Computing
programming language ceylon,0.85,IAB19 Technology & Computing
programming language cfengine,0.85,IAB19 Technology & Computing
programming language ch,0.85,IAB19 Technology & Computing
programming language chapel (cascade high productivity language),0.85,IAB19 Technology & Computing
programming language charm,0.85,IAB19 Technology & Computing
programming language chill,0.85,IAB19 Technology & Computing
programming language chip-8,0.85,IAB19 Technology & Computing
programming language chuck,0.85,IAB19 Technology & Computing
programming language cilk (also cilk++ and cilk plus),0.85,IAB19 Technology & Computing
programming language claire,0.85,IAB19 Technology & Computing
programming language clarion,0.85,IAB19 Technology & Computing
programming language clean,0.85,IAB19 Technology & Computing
programming language clipper,0.85,IAB19 Technology & Computing
programming language clips,0.85,IAB19 Technology & Computing
programming language clist,0.85,IAB19 Technology & Computing
programming language clojure,0.85,IAB19 Technology & Computing
programming language clu,0.85,IAB19 Technology & Computing
programming language cms-2,0.85,IAB19 Technology & Computing
programming language cobol– iso/iec 1989,0.85,IAB19 Technology & Computing
programming language cobolscript– cobol scripting language,0.85,IAB19 Technology & Computing
programming language cobra,0.85,IAB19 Technology & Computing
programming language coffeescript,0.85,IAB19 Technology & Computing
programming language coldfusion,0.85,IAB19 Technology & Computing
programming language comal,0.85,IAB19 Technology & Computing
programming language comit,0.85,IAB19 Technology & Computing
programming language common intermediate language(cil),0.85,IAB19 Technology & Computing
programming language common lisp(also known as cl),0.85,IAB19 Technology & Computing
programming language compass,0.85,IAB19 Technology & Computing
programming language component pascal,0.85,IAB19 Technology & Computing
programming language comtran,0.85,IAB19 Technology & Computing
programming language concurrent pascal,0.85,IAB19 Technology & Computing
programming language constraint handling rules(chr),0.85,IAB19 Technology & Computing
programming language control language,0.85,IAB19 Technology & Computing
"programming language coq, former name ofrocq",0.85,IAB19 Technology & Computing
"programming language coral, coral 66",0.85,IAB19 Technology & Computing
programming language corvision,0.85,IAB19 Technology & Computing
programming language cowsel,0.85,IAB19 Technology & Computing
programming language cpl,0.85,IAB19 Technology & Computing
programming language cryptol,0.85,IAB19 Technology & Computing
programming language crystal,0.85,IAB19 Technology & Computing
programming language csound,0.85,IAB19 Technology & Computing
programming language cuneiform,0.85,IAB19 Technology & Computing
programming language curl,0.85,IAB19 Technology & Computing
programming language curry,0.85,IAB19 Technology & Computing
programming language cybil,0.85,IAB19 Technology & Computing
programming language cyclone,0.85,IAB19 Technology & Computing
programming language cypher query language,0.85,IAB19 Technology & Computing
programming language cython,0.85,IAB19 Technology & Computing
programming language ceemac,0.85,IAB19 Technology & Computing
programming language d(also known as dlang),0.85,IAB19 Technology & Computing
programming language dart,0.85,IAB19 Technology & Computing
programming language darwin,0.85,IAB19 Technology & Computing
programming language dataflex,0.85,IAB19 Technology & Computing
programming language datalog,0.85,IAB19 Technology & Computing
programming language datatrieve,0.85,IAB19 Technology & Computing
programming language dbase,0.85,IAB19 Technology & Computing
programming language dc,0.85,IAB19 Technology & Computing
programming language dcl (digital command language),0.85,IAB19 Technology & Computing
programming language delphi,0.85,IAB19 Technology & Computing
programming language dibol,0.85,IAB19 Technology & Computing
programming language dinkc,0.85,IAB19 Technology & Computing
programming language dog,0.85,IAB19 Technology & Computing
programming language draco,0.85,IAB19 Technology & Computing
programming language drakon,0.85,IAB19 Technology & Computing
programming language dylan,0.85,IAB19 Technology & Computing
programming language dynamo,0.85,IAB19 Technology & Computing
programming language dax (data analysis expressions),0.85,IAB19 Technology & Computing
programming language ease,0.85,IAB19 Technology & Computing
programming language easy pl/i,0.85,IAB19 Technology & Computing
programming language easytrieve plus,0.85,IAB19 Technology & Computing
programming language ecmascript,0.85,IAB19 Technology & Computing
programming language edinburgh imp,0.85,IAB19 Technology & Computing
programming language egl,0.85,IAB19 Technology & Computing
programming language eiffel,0.85,IAB19 Technology & Computing
programming language elan,0.85,IAB19 Technology & Computing
programming language elixir,0.85,IAB19 Technology & Computing
programming language elm,0.85,IAB19 Technology & Computing
programming language emacs lisp,0.85,IAB19 Technology & Computing
programming language emerald,0.85,IAB19 Technology & Computing
programming language epigram,0.85,IAB19 Technology & Computing
programming language epl (easy programming language),0.85,IAB19 Technology & Computing
programming language erlang,0.85,IAB19 Technology & Computing
programming language es,0.85,IAB19 Technology & Computing
programming language escher,0.85,IAB19 Technology & Computing
programming language espol,0.85,IAB19 Technology & Computing
programming language esterel,0.85,IAB19 Technology & Computing
programming language etoys,0.85,IAB19 Technology & Computing
programming language euclid,0.85,IAB19 Technology & Computing
programming language euler,0.85,IAB19 Technology & Computing
programming language euphoria,0.85,IAB19 Technology & Computing
programming language euslisp robot programming language,0.85,IAB19 Technology & Computing
programming language cms exec(exec),0.85,IAB19 Technology & Computing
programming language exec 2,0.85,IAB19 Technology & Computing
programming language executable uml,0.85,IAB19 Technology & Computing
programming language ezhil,0.85,IAB19 Technology & Computing
programming language f# (f sharp),0.85,IAB19 Technology & Computing
programming language f*,0.85,IAB19 Technology & Computing
programming language factor,0.85,IAB19 Technology & Computing
programming language fantom,0.85,IAB19 Technology & Computing
programming language faust,0.85,IAB19 Technology & Computing
programming language ffp,0.85,IAB19 Technology & Computing
programming language fish,0.85,IAB19 Technology & Computing
programming language fjölnir,0.85,IAB19 Technology & Computing
programming language fl,0.85,IAB19 Technology & Computing
programming language flavors,0.85,IAB19 Technology & Computing
programming language flex,0.85,IAB19 Technology & Computing
programming language flix,0.85,IAB19 Technology & Computing
programming language floop,0.85,IAB19 Technology & Computing
programming language flow-matic (b0),0.85,IAB19 Technology & Computing
programming language focal (formulating on-line calculations in algebraic language/formula calculator),0.85,IAB19 Technology & Computing
programming language focus,0.85,IAB19 Technology & Computing
programming language foil,0.85,IAB19 Technology & Computing
programming language formac(formula manipulation compiler),0.85,IAB19 Technology & Computing
programming language @formula,0.85,IAB19 Technology & Computing
programming language forth,0.85,IAB19 Technology & Computing
programming language fortran– iso/iec 1539,0.85,IAB19 Technology & Computing
programming language fortress,0.85,IAB19 Technology & Computing
programming language fp,0.85,IAB19 Technology & Computing
programming language foxbase/foxpro,0.85,IAB19 Technology & Computing
programming language franz lisp,0.85,IAB19 Technology & Computing
programming language futhark,0.85,IAB19 Technology & Computing
programming language game maker language,0.85,IAB19 Technology & Computing
programming language gamemonkey script,0.85,IAB19 Technology & Computing
programming language general algebraic modeling system(gams),0.85,IAB19 Technology & Computing
programming language gap,0.85,IAB19 Technology & Computing
programming language g-code,0.85,IAB19 Technology & Computing
programming language gdscript (godot),0.85,IAB19 Technology & Computing
programming language geometric description language(gdl),0.85,IAB19 Technology & Computing
programming language george,0.85,IAB19 Technology & Computing
programming language gleam,0.85,IAB19 Technology & Computing
programming language opengl shading language(glsl),0.85,IAB19 Technology & Computing
programming language gnu e,0.85,IAB19 Technology & Computing
programming language gnu guile (gnu ubiquitous intelligent language for extensions),0.85,IAB19 Technology & Computing
programming language gnu octave,0.85,IAB19 Technology & Computing
programming language go,0.85,IAB19 Technology & Computing
programming language go!,0.85,IAB19 Technology & Computing
programming language game oriented assembly lisp(goal),0.85,IAB19 Technology & Computing
programming language gödel,0.85,IAB19 Technology & Computing
programming language golo,0.85,IAB19 Technology & Computing
programming language good old mad (gom),0.85,IAB19 Technology & Computing
programming language google apps script,0.85,IAB19 Technology & Computing
programming language gosu,0.85,IAB19 Technology & Computing
programming language gotran (ibm 1620),0.85,IAB19 Technology & Computing
programming language general purpose simulation system (gpss),0.85,IAB19 Technology & Computing
programming language graphtalk (computer sciences corporation),0.85,IAB19 Technology & Computing
programming language grass,0.85,IAB19 Technology & Computing
programming language grasshopper,0.85,IAB19 Technology & Computing
programming language groovy(by apache),0.85,IAB19 Technology & Computing
programming language hack,0.85,IAB19 Technology & Computing
programming language haggis,0.85,IAB19 Technology & Computing
programming language hal/s,0.85,IAB19 Technology & Computing
programming language halide (programming language),0.85,IAB19 Technology & Computing
programming language hamilton c shell,0.85,IAB19 Technology & Computing
programming language harbour,0.85,IAB19 Technology & Computing
programming language hartmann pipelines,0.85,IAB19 Technology & Computing
programming language haskell,0.85,IAB19 Technology & Computing
programming language haxe,0.85,IAB19 Technology & Computing
programming language hermes,0.85,IAB19 Technology & Computing
programming language high level assembly(hla),0.85,IAB19 Technology & Computing
programming language high level shader language(hlsl),0.85,IAB19 Technology & Computing
programming language hollywood,0.85,IAB19 Technology & Computing
programming language holyc (templeos),0.85,IAB19 Technology & Computing
programming language hop,0.85,IAB19 Technology & Computing
programming language hopscotch,0.85,IAB19 Technology & Computing
programming language hope,0.85,IAB19 Technology & Computing
programming language hume,0.85,IAB19 Technology & Computing
programming language hypertalk,0.85,IAB19 Technology & Computing
programming language hy,0.85,IAB19 Technology & Computing
programming language io,0.85,IAB19 Technology & Computing
programming language icon,0.85,IAB19 Technology & Computing
programming language ibm basic assembly language,0.85,IAB19 Technology & Computing
programming language ibm informix-4gl,0.85,IAB19 Technology & Computing
programming language ibm rpg,0.85,IAB19 Technology & Computing
programming language idl,0.85,IAB19 Technology & Computing
programming language idris,0.85,IAB19 Technology & Computing
programming language inform,0.85,IAB19 Technology & Computing
programming language instruction list,0.85,IAB19 Technology & Computing
programming language islisp,0.85,IAB19 Technology & Computing
programming language j# (j sharp),0.85,IAB19 Technology & Computing
programming language j++ (j plus plus),0.85,IAB19 Technology & Computing
programming language jade,0.85,IAB19 Technology & Computing
programming language jai,0.85,IAB19 Technology & Computing
programming language jal,0.85,IAB19 Technology & Computing
programming language janus (concurrent constraint programming language),0.85,IAB19 Technology & Computing
programming language janus (time-reversible computing programming language),0.85,IAB19 Technology & Computing
programming language jass,0.85,IAB19 Technology & Computing
programming language java,0.85,IAB19 Technology & Computing
programming language javafx script,0.85,IAB19 Technology & Computing
programming language javascript,0.85,IAB19 Technology & Computing
programming language jess,0.85,IAB19 Technology & Computing
programming language jcl,0.85,IAB19 Technology & Computing
programming language jean,0.85,IAB19 Technology & Computing
programming language join java,0.85,IAB19 Technology & Computing
programming language joss,0.85,IAB19 Technology & Computing
programming language joule,0.85,IAB19 Technology & Computing
programming language jovial,0.85,IAB19 Technology & Computing
programming language joy,0.85,IAB19 Technology & Computing
programming language jq,0.85,IAB19 Technology & Computing
programming language jscript,0.85,IAB19 Technology & Computing
programming language jscript .net,0.85,IAB19 Technology & Computing
programming language julia,0.85,IAB19 Technology & Computing
programming language jython,0.85,IAB19 Technology & Computing
programming language kaleidoscope,0.85,IAB19 Technology & Computing
programming language karel,0.85,IAB19 Technology & Computing
programming language kee,0.85,IAB19 Technology & Computing
programming language kixtart,0.85,IAB19 Technology & Computing
programming language klerer-may system,0.85,IAB19 Technology & Computing
programming language kif (knowledge interchange format),0.85,IAB19 Technology & Computing
programming language kojo,0.85,IAB19 Technology & Computing
programming language kotlin,0.85,IAB19 Technology & Computing
programming language krc,0.85,IAB19 Technology & Computing
programming language krl,0.85,IAB19 Technology & Computing
programming language krl (kuka robot language),0.85,IAB19 Technology & Computing
programming language krypton,0.85,IAB19 Technology & Computing
programming language kornshell (ksh),0.85,IAB19 Technology & Computing
programming language kodu,0.85,IAB19 Technology & Computing
programming language kv (kivy),0.85,IAB19 Technology & Computing
programming language labview,0.85,IAB19 Technology & Computing
programming language ladder,0.85,IAB19 Technology & Computing
programming language lansa,0.85,IAB19 Technology & Computing
programming language lasso,0.85,IAB19 Technology & Computing
programming language lc-3,0.85,IAB19 Technology & Computing
programming language lean,0.85,IAB19 Technology & Computing
programming language legoscript,0.85,IAB19 Technology & Computing
programming language lil,0.85,IAB19 Technology & Computing
programming language lilypond,0.85,IAB19 Technology & Computing
programming language limbo,0.85,IAB19 Technology & Computing
programming language linc,0.85,IAB19 Technology & Computing
programming language lingo,0.85,IAB19 Technology & Computing
programming language linq,0.85,IAB19 Technology & Computing
programming language lis,0.85,IAB19 Technology & Computing
programming language lisa,0.85,IAB19 Technology & Computing
programming language language h,0.85,IAB19 Technology & Computing
programming language lisp– iso/iec 13816,0.85,IAB19 Technology & Computing
programming language lithe,0.85,IAB19 Technology & Computing
programming language little b,0.85,IAB19 Technology & Computing
programming language lll,0.85,IAB19 Technology & Computing
programming language logo,0.85,IAB19 Technology & Computing
programming language logtalk,0.85,IAB19 Technology & Computing
programming language lotusscript,0.85,IAB19 Technology & Computing
programming language lpc,0.85,IAB19 Technology & Computing
programming language lse,0.85,IAB19 Technology & Computing
programming language lsl,0.85,IAB19 Technology & Computing
programming language livecode,0.85,IAB19 Technology & Computing
programming language livescript,0.85,IAB19 Technology & Computing
programming language lua,0.85,IAB19 Technology & Computing
programming language lucid,0.85,IAB19 Technology & Computing
programming language lustre,0.85,IAB19 Technology & Computing
programming language lyapas,0.85,IAB19 Technology & Computing
programming language lynx,0.85,IAB19 Technology & Computing
programming language m formula language,0.85,IAB19 Technology & Computing
programming language m4,0.85,IAB19 Technology & Computing
programming language machine code,0.85,IAB19 Technology & Computing
programming language mad(michigan algorithm decoder),0.85,IAB19 Technology & Computing
programming language mad/i,0.85,IAB19 Technology & Computing
programming language magik,0.85,IAB19 Technology & Computing
programming language magma,0.85,IAB19 Technology & Computing
programming language maple,0.85,IAB19 Technology & Computing
programming language mapper(now part of bis),0.85,IAB19 Technology & Computing
programming language mark-iv(now vision:builder),0.85,IAB19 Technology & Computing
programming language mary,0.85,IAB19 Technology & Computing
programming language matlab,0.85,IAB19 Technology & Computing
programming language masm microsoft assembly x86,0.85,IAB19 Technology & Computing
programming language math-matic,0.85,IAB19 Technology & Computing
programming language maude system,0.85,IAB19 Technology & Computing
programming language maxima(see alsomacsyma),0.85,IAB19 Technology & Computing
programming language max(max msp – graphical programming environment),0.85,IAB19 Technology & Computing
programming language maxscriptinternal language 3d studio max,0.85,IAB19 Technology & Computing
programming language maya (mel),0.85,IAB19 Technology & Computing
programming language mdl,0.85,IAB19 Technology & Computing
programming language mercury,0.85,IAB19 Technology & Computing
programming language mesa,0.85,IAB19 Technology & Computing
programming language mheg-5 (interactive tv programming language),0.85,IAB19 Technology & Computing
programming language microcode,0.85,IAB19 Technology & Computing
programming language microsoft power fx,0.85,IAB19 Technology & Computing
programming language miis,0.85,IAB19 Technology & Computing
programming language mimic,0.85,IAB19 Technology & Computing
programming language mirah,0.85,IAB19 Technology & Computing
programming language miranda,0.85,IAB19 Technology & Computing
programming language miva script,0.85,IAB19 Technology & Computing
programming language ml,0.85,IAB19 Technology & Computing
programming language model 204,0.85,IAB19 Technology & Computing
programming language modelica,0.85,IAB19 Technology & Computing
programming language modula,0.85,IAB19 Technology & Computing
programming language modula-2,0.85,IAB19 Technology & Computing
programming language modula-3,0.85,IAB19 Technology & Computing
programming language mohol,0.85,IAB19 Technology & Computing
programming language mojo,0.85,IAB19 Technology & Computing
programming language moo,0.85,IAB19 Technology & Computing
programming language mortran,0.85,IAB19 Technology & Computing
programming language mouse,0.85,IAB19 Technology & Computing
programming language mpd,0.85,IAB19 Technology & Computing
programming language msl,0.85,IAB19 Technology & Computing
programming language mumps,0.85,IAB19 Technology & Computing
programming language mupad,0.85,IAB19 Technology & Computing
programming language mutan,0.85,IAB19 Technology & Computing
programming language mystic programming language(mpl),0.85,IAB19 Technology & Computing
programming language nasm,0.85,IAB19 Technology & Computing
programming language napier88,0.85,IAB19 Technology & Computing
programming language neko,0.85,IAB19 Technology & Computing
programming language nemerle,0.85,IAB19 Technology & Computing
programming language nesl,0.85,IAB19 Technology & Computing
programming language net.data,0.85,IAB19 Technology & Computing
programming language netlogo,0.85,IAB19 Technology & Computing
programming language netrexx,0.85,IAB19 Technology & Computing
programming language newlisp,0.85,IAB19 Technology & Computing
programming language newp,0.85,IAB19 Technology & Computing
programming language newspeak,0.85,IAB19 Technology & Computing
programming language newtonscript,0.85,IAB19 Technology & Computing
programming language nial,0.85,IAB19 Technology & Computing
programming language nickle(nitin),0.85,IAB19 Technology & Computing
programming language nim,0.85,IAB19 Technology & Computing
programming language nix (systems configuration language),0.85,IAB19 Technology & Computing
programming language npl,0.85,IAB19 Technology & Computing
programming language not exactly c(nxc),0.85,IAB19 Technology & Computing
programming language not quite c(nqc),0.85,IAB19 Technology & Computing
programming language nsis,0.85,IAB19 Technology & Computing
programming language nu,0.85,IAB19 Technology & Computing
programming language nwscript,0.85,IAB19 Technology & Computing
programming language nxt-g,0.85,IAB19 Technology & Computing
programming language o:xml,0.85,IAB19 Technology & Computing
programming language oak,0.85,IAB19 Technology & Computing
programming language oberon,0.85,IAB19 Technology & Computing
programming language obj2,0.85,IAB19 Technology & Computing
programming language object lisp,0.85,IAB19 Technology & Computing
programming language objectlogo,0.85,IAB19 Technology & Computing
programming language object rexx,0.85,IAB19 Technology & Computing
programming language object pascal,0.85,IAB19 Technology & Computing
programming language objective-c,0.85,IAB19 Technology & Computing
programming language obliq,0.85,IAB19 Technology & Computing
programming language ocaml,0.85,IAB19 Technology & Computing
programming language occam,0.85,IAB19 Technology & Computing
programming language occam-π,0.85,IAB19 Technology & Computing
programming language octave,0.85,IAB19 Technology & Computing
programming language omnimark,0.85,IAB19 Technology & Computing
programming language opa,0.85,IAB19 Technology & Computing
programming language opal,0.85,IAB19 Technology & Computing
programming language open programming language(opl),0.85,IAB19 Technology & Computing
programming language opencl,0.85,IAB19 Technology & Computing
programming language openedge advanced business language(abl),0.85,IAB19 Technology & Computing
programming language openqasm,0.85,IAB19 Technology & Computing
programming language ops5,0.85,IAB19 Technology & Computing
programming language optimj,0.85,IAB19 Technology & Computing
programming language orc,0.85,IAB19 Technology & Computing
programming language orca/modula-2,0.85,IAB19 Technology & Computing
programming language oriel,0.85,IAB19 Technology & Computing
programming language orwell,0.85,IAB19 Technology & Computing
programming language oxygene,0.85,IAB19 Technology & Computing
programming language oz,0.85,IAB19 Technology & Computing
programming language p4,0.85,IAB19 Technology & Computing
programming language p′′,0.85,IAB19 Technology & Computing
programming language parasail,0.85,IAB19 Technology & Computing
programming language pari/gp,0.85,IAB19 Technology & Computing
programming language pascal– iso 7185,0.85,IAB19 Technology & Computing
programming language pascal script,0.85,IAB19 Technology & Computing
programming language pcastl,0.85,IAB19 Technology & Computing
programming language pcf,0.85,IAB19 Technology & Computing
programming language pearl,0.85,IAB19 Technology & Computing
programming language peoplecode,0.85,IAB19 Technology & Computing
programming language perl,0.85,IAB19 Technology & Computing
programming language pdl,0.85,IAB19 Technology & Computing
programming language pharo,0.85,IAB19 Technology & Computing
programming language php,0.85,IAB19 Technology & Computing
programming language pico,0.85,IAB19 Technology & Computing
programming language picolisp,0.85,IAB19 Technology & Computing
programming language pict,0.85,IAB19 Technology & Computing
programming language pike,0.85,IAB19 Technology & Computing
programming language pilot,0.85,IAB19 Technology & Computing
programming language pipelines,0.85,IAB19 Technology & Computing
programming language pizza,0.85,IAB19 Technology & Computing
programming language pl-11,0.85,IAB19 Technology & Computing
programming language pl/0,0.85,IAB19 Technology & Computing
programming language pl/b,0.85,IAB19 Technology & Computing
programming language pl/c,0.85,IAB19 Technology & Computing
programming language pl/i– iso 6160,0.85,IAB19 Technology & Computing
programming language pl/m,0.85,IAB19 Technology & Computing
programming language pl/p,0.85,IAB19 Technology & Computing
programming language pl/s,0.85,IAB19 Technology & Computing
programming language pl/sql,0.85,IAB19 Technology & Computing
programming language pl360,0.85,IAB19 Technology & Computing
programming language planc,0.85,IAB19 Technology & Computing
programming language plankalkül,0.85,IAB19 Technology & Computing
programming language planner,0.85,IAB19 Technology & Computing
programming language plex,0.85,IAB19 Technology & Computing
programming language plexil,0.85,IAB19 Technology & Computing
programming language plus,0.85,IAB19 Technology & Computing
programming language pony,0.85,IAB19 Technology & Computing
programming language pop-11,0.85,IAB19 Technology & Computing
programming language pop-2,0.85,IAB19 Technology & Computing
programming language postscript,0.85,IAB19 Technology & Computing
programming language portable,0.85,IAB19 Technology & Computing
programming language pov-ray sdl,0.85,IAB19 Technology & Computing
programming language powerhouse,0.85,IAB19 Technology & Computing
programming language powerbuilder– 4gl gui application generator from sybase,0.85,IAB19 Technology & Computing
programming language powershell,0.85,IAB19 Technology & Computing
programming language ppl,0.85,IAB19 Technology & Computing
programming language processing,0.85,IAB19 Technology & Computing
programming language processing.js,0.85,IAB19 Technology & Computing
programming language prograph,0.85,IAB19 Technology & Computing
programming language project verona,0.85,IAB19 Technology & Computing
programming language prolog,0.85,IAB19 Technology & Computing
programming language promal,0.85,IAB19 Technology & Computing
programming language promela,0.85,IAB19 Technology & Computing
programming language prose modeling language,0.85,IAB19 Technology & Computing
programming language protel,0.85,IAB19 Technology & Computing
programming language pro*c,0.85,IAB19 Technology & Computing
programming language pure,0.85,IAB19 Technology & Computing
programming language pure data,0.85,IAB19 Technology & Computing
programming language purescript,0.85,IAB19 Technology & Computing
programming language pwct,0.85,IAB19 Technology & Computing
programming language python,0.85,IAB19 Technology & Computing
programming language q (programming language from kx systems),0.85,IAB19 Technology & Computing
programming language q#,0.85,IAB19 Technology & Computing
programming language qalb,0.85,IAB19 Technology & Computing
programming language quantum computation language,0.85,IAB19 Technology & Computing
programming language qtscript,0.85,IAB19 Technology & Computing
programming language quakec,0.85,IAB19 Technology & Computing
programming language qpl,0.85,IAB19 Technology & Computing
programming language .ql,0.85,IAB19 Technology & Computing
programming language r++,0.85,IAB19 Technology & Computing
programming language racket,0.85,IAB19 Technology & Computing
programming language raku,0.85,IAB19 Technology & Computing
programming language rapid,0.85,IAB19 Technology & Computing
programming language rapira,0.85,IAB19 Technology & Computing
programming language ratfiv,0.85,IAB19 Technology & Computing
programming language ratfor,0.85,IAB19 Technology & Computing
programming language rc,0.85,IAB19 Technology & Computing
programming language reason,0.85,IAB19 Technology & Computing
programming language rebol,0.85,IAB19 Technology & Computing
programming language red,0.85,IAB19 Technology & Computing
programming language redcode,0.85,IAB19 Technology & Computing
programming language refal,0.85,IAB19 Technology & Computing
