text,confidence,iab_label
cognition fall breath,0.7,IAB7 Health & Fitness
cardiovascular dislocated asthma,0.7,IAB7 Health & Fitness
excercise compound pen,0.7,IAB7 Health & Fitness
med lives fall,0.7,IAB7 Health & Fitness
dietetic hip disk,0.7,IAB7 Health & Fitness
tuberculosis insurance beckham,0.7,IAB7 Health & Fitness
mild wounded heath,0.7,IAB7 Health & Fitness
deprivation long live,0.7,IAB7 Health & Fitness
match carcinogen age,0.7,IAB7 Health & Fitness
awareness grievous sweaty,0.7,IAB7 Health & Fitness
frail unhealthy association,0.7,IAB7 Health & Fitness
knock exercisable fatality,0.7,IAB7 Health & Fitness
weight improve epidemiological,0.7,IAB7 Health & Fitness
defence environmental dieticians,0.7,IAB7 Health & Fitness
aid disabilities insult,0.7,IAB7 Health & Fitness
regen water getting,0.7,IAB7 Health & Fitness
death illnesses need,0.7,IAB7 Health & Fitness
betoil eduction unhealthiness,0.7,IAB7 Health & Fitness
heel musclebound hip,0.7,IAB7 Health & Fitness
hardship knocked federal,0.7,IAB7 Health & Fitness
pig live maternity,0.7,IAB7 Health & Fitness
medical healthy warm,0.7,IAB7 Health & Fitness
conditioning comfort injury,0.7,IAB7 Health & Fitness
pig shoe nagging,0.7,IAB7 Health & Fitness
keep biology center,0.7,IAB7 Health & Fitness
malaria preventative unwellness,0.7,IAB7 Health & Fitness
vaccinations government accidental,0.7,IAB7 Health & Fitness
achilles risk consequences,0.7,IAB7 Health & Fitness
run mortality county,0.7,IAB7 Health & Fitness
without preventive personality,0.7,IAB7 Health & Fitness
accidental contraception administration,0.7,IAB7 Health & Fitness
physically rhythm welt,0.7,IAB7 Health & Fitness
rooney ligament cholesterol,0.7,IAB7 Health & Fitness
load face probable,0.7,IAB7 Health & Fitness
disaster disc tire,0.7,IAB7 Health & Fitness
public strength isoprenoid,0.7,IAB7 Health & Fitness
look the jazzercise,0.7,IAB7 Health & Fitness
eczema train extremes,0.7,IAB7 Health & Fitness
nutritional addictions dermatitis,0.7,IAB7 Health & Fitness
cryopathy dental injures,0.7,IAB7 Health & Fitness
hospital hurts take,0.7,IAB7 Health & Fitness
unhealthy chronically cap,0.7,IAB7 Health & Fitness
unhealthiness cardiac physician,0.7,IAB7 Health & Fitness
audiology city strech,0.7,IAB7 Health & Fitness
tendon skin condom,0.7,IAB7 Health & Fitness
abdominal defender debuted,0.7,IAB7 Health & Fitness
battery conduct pandemic,0.7,IAB7 Health & Fitness
experts institutions news,0.7,IAB7 Health & Fitness
wounded lives breathe,0.7,IAB7 Health & Fitness
affront addictions the,0.7,IAB7 Health & Fitness
stability lifestyle pen,0.7,IAB7 Health & Fitness
personal without forearm,0.7,IAB7 Health & Fitness
niggle experts healthier,0.7,IAB7 Health & Fitness
test armor versus,0.7,IAB7 Health & Fitness
inflammation sicknesses low,0.7,IAB7 Health & Fitness
fracture flab illness,0.7,IAB7 Health & Fitness
infectious dislocation metabolic,0.7,IAB7 Health & Fitness
longevity addictions overwork,0.7,IAB7 Health & Fitness
godsb cardiopulmonary spell,0.7,IAB7 Health & Fitness
property discount agencies,0.7,IAB7 Health & Fitness
club missed organization,0.7,IAB7 Health & Fitness
fractured spectrum medical,0.7,IAB7 Health & Fitness
exercise pregnancy shock,0.7,IAB7 Health & Fitness
labrum wreck education,0.7,IAB7 Health & Fitness
release standards organizations,0.7,IAB7 Health & Fitness
leg drug absence,0.7,IAB7 Health & Fitness
elbow burnout aid,0.7,IAB7 Health & Fitness
performance bone dumping,0.7,IAB7 Health & Fitness
benefits emergency shot,0.7,IAB7 Health & Fitness
