text,confidence,iab_label
"board game b-17, queen of the skies",0.85,IAB9 Hobbies & Interests
board game fields of fire,0.85,IAB9 Hobbies & Interests
board game a game of war,0.85,IAB9 Hobbies & Interests
board game abalone,0.85,IAB9 Hobbies & Interests
board game agon,0.85,IAB9 Hobbies & Interests
board game android: netrunner,0.85,IAB9 Hobbies & Interests
board game arimaa,0.85,IAB9 Hobbies & Interests
board game asalto,0.85,IAB9 Hobbies & Interests
board game backgammon,0.85,IAB9 Hobbies & Interests
board game battlelore,0.85,IAB9 Hobbies & Interests
board game battleship,0.85,IAB9 Hobbies & Interests
board game blockade,0.85,IAB9 Hobbies & Interests
board game blood bowl,0.85,IAB9 Hobbies & Interests
board game bul,0.85,IAB9 Hobbies & Interests
board game camelot,0.85,IAB9 Hobbies & Interests
board game chaturanga(indian chess),0.85,IAB9 Hobbies & Interests
board game checkers,0.85,IAB9 Hobbies & Interests
board game chess,0.85,IAB9 Hobbies & Interests
board game commands & colors: ancients,0.85,IAB9 Hobbies & Interests
board game connect four,0.85,IAB9 Hobbies & Interests
board game connect6,0.85,IAB9 Hobbies & Interests
board game cross and circle game,0.85,IAB9 Hobbies & Interests
board game daldøs,0.85,IAB9 Hobbies & Interests
board game diamond,0.85,IAB9 Hobbies & Interests
board game diceball!,0.85,IAB9 Hobbies & Interests
board game doublets,0.85,IAB9 Hobbies & Interests
board game downfall,0.85,IAB9 Hobbies & Interests
board game dvonn,0.85,IAB9 Hobbies & Interests
board game draughts,0.85,IAB9 Hobbies & Interests
board game east front,0.85,IAB9 Hobbies & Interests
board game english game,0.85,IAB9 Hobbies & Interests
board game fanorona,0.85,IAB9 Hobbies & Interests
board game game of the generals,0.85,IAB9 Hobbies & Interests
board game ghosts,0.85,IAB9 Hobbies & Interests
board game gipf,0.85,IAB9 Hobbies & Interests
board game go,0.85,IAB9 Hobbies & Interests
board game gobblet,0.85,IAB9 Hobbies & Interests
board game gomoku,0.85,IAB9 Hobbies & Interests
board game guess who?,0.85,IAB9 Hobbies & Interests
board game hare and hounds,0.85,IAB9 Hobbies & Interests
board game hounds and jackals,0.85,IAB9 Hobbies & Interests
board game hex,0.85,IAB9 Hobbies & Interests
board game hijara,0.85,IAB9 Hobbies & Interests
board game irish,0.85,IAB9 Hobbies & Interests
board game jacquet,0.85,IAB9 Hobbies & Interests
board game janggi(korean chess),0.85,IAB9 Hobbies & Interests
board game jaipur,0.85,IAB9 Hobbies & Interests
board game kalah,0.85,IAB9 Hobbies & Interests
board game kamisado,0.85,IAB9 Hobbies & Interests
board game khet,0.85,IAB9 Hobbies & Interests
board game liubo,0.85,IAB9 Hobbies & Interests
board game lost cities,0.85,IAB9 Hobbies & Interests
board game mad gab,0.85,IAB9 Hobbies & Interests
board game makruk(thai chess),0.85,IAB9 Hobbies & Interests
board game mancala,0.85,IAB9 Hobbies & Interests
board game mastermind,0.85,IAB9 Hobbies & Interests
board game matching game,0.85,IAB9 Hobbies & Interests
board game napoléon à austerlitz,0.85,IAB9 Hobbies & Interests
board game nine men's morris,0.85,IAB9 Hobbies & Interests
board game onyx,0.85,IAB9 Hobbies & Interests
board game operation,0.85,IAB9 Hobbies & Interests
board game ouk-khmer(cambodian chess),0.85,IAB9 Hobbies & Interests
board game oware,0.85,IAB9 Hobbies & Interests
board game pünct,0.85,IAB9 Hobbies & Interests
board game quarto,0.85,IAB9 Hobbies & Interests
board game qwirkle,0.85,IAB9 Hobbies & Interests
board game reversi(othello),0.85,IAB9 Hobbies & Interests
board game rithmomachy,0.85,IAB9 Hobbies & Interests
board game royal game of ur,0.85,IAB9 Hobbies & Interests
board game rsvp,0.85,IAB9 Hobbies & Interests
board game sáhkku,0.85,IAB9 Hobbies & Interests
board game santorini,0.85,IAB9 Hobbies & Interests
board game sector 41,0.85,IAB9 Hobbies & Interests
board game senet,0.85,IAB9 Hobbies & Interests
board game shatar(mongolian chess),0.85,IAB9 Hobbies & Interests
board game shatranj(persian chess),0.85,IAB9 Hobbies & Interests
board game shogi(japanese chess),0.85,IAB9 Hobbies & Interests
board game simon,0.85,IAB9 Hobbies & Interests
board game sittuyin(burmese chess),0.85,IAB9 Hobbies & Interests
board game skip-bo,0.85,IAB9 Hobbies & Interests
board game space hulk,0.85,IAB9 Hobbies & Interests
board game star wars: x-wing miniatures game,0.85,IAB9 Hobbies & Interests
board game stratego,0.85,IAB9 Hobbies & Interests
