text,iab_label,confidence
sound wally pfisters scifi transcendence think,IAB1 Arts & Entertainment,0.18
gabriel garcia marquez nobel laureate dies 87 video,IAB12 News,0.15
pfizer pulls plug deal buy astrazeneca largest deal industry history,IAB3 Business,0.47
android l vs android kitkat 8 changes,IAB19 Technology & Computing,0.12
organic mangos recalled due listeria health risk,IAB8 Food & Drink,0.27
singer alicia keys pregnant 2nd child,IAB6 Family & Parenting,0.5
bank america made math error trouble shareholders,IAB3 Business,0.65
markets looking forward upcoming earnings releases,IAB3 Business,0.24
stockman introduces bill impose sales taxes virtual bitcoin,"IAB11 Law, Gov’t & Politics",0.3
canadian patient gets ebola allclear liberia return,IAB12 News,0.21
german bunds fall euroarea inflation damps ecb bets,IAB24 Uncategorized,0.11
cory still topanga new generation meets world,IAB20 Travel,0.14
two weeks stop gameover zeus need know,IAB12 News,0.24
samsung galaxy s4 value edition launches android 44 kitkat preinstalled,IAB19 Technology & Computing,0.17
changes pollen season increasing rates asthma allergy,IAB24 Uncategorized,0.13
everyone guinea still super scared ebola makes sense scary,IAB16 Pets,0.55
hepatitis c breakthrough promises 90 cure rate,IAB12 News,0.18
game thrones showrunners sign two seasons,IAB1 Arts & Entertainment,0.4
government politics arrogance obamacare,"IAB11 Law, Gov’t & Politics",0.54
sa backs nigerias economic step,IAB14 Society,0.57
whiting top bakken oil firms 6b kodiak buy wboctv 16 delmarvas,IAB3 Business,0.27
sales new us homes fell 33 february,IAB21 Real Estate,0.51
hong kong china shares regain little ground state energy firms,IAB12 News,0.16
heaven real movie review,IAB23 Religion & Spirituality,0.12
targets decision remove ceo rattles investors,IAB3 Business,0.22
faa proposes fine southwest airlines 12 million improper repairs,IAB20 Travel,0.2
us added 209000 jobs july unemployment 62 percent,IAB14 Society,0.14
honduras enters third day search 8 trapped miners 3 others known alive,IAB12 News,0.28
train dragon 2 review animated perfection,IAB1 Arts & Entertainment,0.38
rash purchase ipad may cause skin conditions,IAB19 Technology & Computing,0.29
2015 smart fortwo forfour specifications officially released video photo,IAB12 News,0.13
govt set prepare possible mers outbreak,IAB12 News,0.14
google luxottica add oakley rayban fashion google glass,IAB18 Style & Fashion,0.51
sharknado 2 life lessons 10 things learned second one,IAB12 News,0.13
ebay carl icahn end war,IAB3 Business,0.39
kim kardashian shoots wedding rumors,IAB12 News,0.33
another trailer tease dawn planet apes,IAB24 Uncategorized,0.16
china industrial output retail sales touch new lows,IAB3 Business,0.36
google previews fit software kit healthtracking apps,IAB7 Health & Fitness,0.22
robin williams joins mrs doubtfire sequel,IAB1 Arts & Entertainment,0.09
kendall fighting kardashian name shame,IAB12 News,0.13
etihad a380s target luxury travellers,IAB20 Travel,0.39
siemens said prepare alstom offer gain gas turbines,IAB15 Science,0.52
review muppets wanted funny nothing special unique,IAB24 Uncategorized,0.4
icahn ebay settle bitter dispute,IAB3 Business,0.37
facebook 1q results soar 25b,IAB12 News,0.09
courtney love claims solved malaysian airlines missing plane mystery,IAB20 Travel,0.26
toyota moving us headquarters california texas 2017,IAB20 Travel,0.16
star trek actor chris pine driving drinking four vodkas,IAB20 Travel,0.35
really end stephen colbert beloved colbert report,IAB12 News,0.18
judging kathleen sebelius,"IAB11 Law, Gov’t & Politics",0.2
update 1yellen prepares wall st wholesale funding rules fed,IAB12 News,0.26
watch rapture first leftovers clips,IAB24 Uncategorized,0.2
facebook seeks eu antitrust review whatsapp deal 2nd update,IAB3 Business,0.22
facebook buys online video tech company liverail,IAB19 Technology & Computing,0.21
spiderman 2 premiere stone stuns red carpet garfield curls,IAB1 Arts & Entertainment,0.39
machine generates empathy roger ebert gets documentary,IAB1 Arts & Entertainment,0.24
adrian moles final diary left unfinished publisher says,IAB24 Uncategorized,0.23
microsoft lost google race buy twitch 1 billion rumour,IAB19 Technology & Computing,0.36
ann b davis dies 3 things remember brady bunch icon,IAB1 Arts & Entertainment,0.08
harrison ford injured set new star wars movie,IAB1 Arts & Entertainment,0.45
end nyc soda ban,"IAB11 Law, Gov’t & Politics",0.23
pamela anderson says sexually molested gangraped child,IAB12 News,0.33
bachelorette bad boy nick explains andi cold,IAB12 News,0.17
usda allocates 315 million citrus greening research,IAB15 Science,0.19
microsoft fights us effort break doors irish datacentre,IAB19 Technology & Computing,0.38
kim kardashian stalker taken custody appearing mothers home,IAB12 News,0.23
uk jobless rate stable 72 claimants,IAB3 Business,0.14
california shooting spree victims named,IAB12 News,0.26
road bonnaroo day one austin adventures,IAB20 Travel,0.63
african ministers appeal resources tackle ebola,IAB12 News,0.18
new high crime disagreement,IAB12 News,0.41
object spotted hunt missing plane,IAB12 News,0.14
lg skips middle east worldwide rollout g watch,IAB20 Travel,0.15
lily allen joining miley cyruss bangerz tour,IAB1 Arts & Entertainment,0.38
audi introduce carplay compatible cars 2015,IAB2 Automotive,0.46
lg eyes mainstream adoption wearables first device powered,IAB3 Business,0.26
taylor swift outlines real risk pop music,IAB20 Travel,0.13
xmen days future past lacks x factor,IAB24 Uncategorized,0.26
clean space junk risk reallife gravity disaster lawmakers say,"IAB11 Law, Gov’t & Politics",0.32
nato warns russia intermember solidarity,IAB12 News,0.18
free hiv testing offered honor national hiv testing day,IAB20 Travel,0.11
bill white removed daily job barclays probe,IAB3 Business,0.32
us treasury secretary says suggested hillary clinton possible successor,IAB3 Business,0.14
virgin america tops us performance ratings,IAB17 Sports,0.09
teens ditching booze getting high,IAB12 News,0.14
dropbox cloud storm coming,IAB19 Technology & Computing,0.14
adhd treatment may increase obesity risk,IAB24 Uncategorized,0.14
install android l sdk windows mac,IAB19 Technology & Computing,0.43
fastfood workers announce global protest walkouts set 33 countries,IAB8 Food & Drink,0.44
tech stocks pressure earnings outlook,IAB12 News,0.18
gazprom responsible sufficient gas deliveries eu barroso letter putin,IAB3 Business,0.18
jpmorgan boss dimon cancer,IAB3 Business,0.68
mers patient us expected go home soon,IAB24 Uncategorized,0.1
orange new black spoilers new trailer offers huge season 2 scoop,IAB12 News,0.23
commodities oil prices pull recent highs,IAB24 Uncategorized,0.14
us uk advise avoiding internet explorer bug fixed,IAB20 Travel,0.14
update 1bnp paribas ceo tells employees bank facing heavy us penalties,IAB12 News,0.42
