text,iab_label,confidence
first fulllength photos kim kardashians wedding gown arrived,IAB18 Style & Fashion,0.39
composer mary rodgers dies aged 83,IAB1 Arts & Entertainment,0.14
sonys revolutionary storage solutionmagnetic tape really claiming tech,IAB14 Society,0.74
coldwater creek files bankruptcy wind operations including holyoke,IAB3 Business,0.21
comcast talks charter divestitures source,IAB3 Business,0.22
heres first officiallooking shot alleged htc one mini 2,IAB19 Technology & Computing,0.16
361 million people besides traveling memorial day weekend,IAB20 Travel,0.51
américa móvil shed assets loosening grip,IAB2 Automotive,0.12
dogs cats expected tested mers,IAB16 Pets,0.67
2014 bet awards 9 memorable moments,IAB3 Business,0.08
chocolate pill study looks cocoa health benefits,IAB15 Science,0.43
pharrell covers gqs april issue responds oscars loss cleverly photo,IAB17 Sports,0.25
dawn planet apes critics tv spots feature new footage,IAB20 Travel,0.12
new iphone likely september says nikkei,IAB19 Technology & Computing,0.31
elliott says negotiations argentina,IAB24 Uncategorized,0.09
china japan blast competition gaming ipos,IAB9 Hobbies & Interests,0.18
microsoft partners 14 percent market scope growth huge,IAB3 Business,0.29
google strikes smart contact lens deal track diabetes fix farsightedness,IAB19 Technology & Computing,0.31
apple aapl stock today update,IAB12 News,0.17
gender nonconforming teen forced remove makeup drivers license,IAB24 Uncategorized,0.12
wall street market report,IAB3 Business,0.45
facebook adds tool enabling relationship queries,IAB24 Uncategorized,0.11
target profits plummet,IAB3 Business,0.2
official andi dorfman josh murray moving together,IAB20 Travel,0.11
another glee twitter hack lea michele denies earlier pregnancy announcement,IAB6 Family & Parenting,0.37
wrote passover haggadah,IAB23 Religion & Spirituality,0.53
sony sell playstation newly opened china market update,IAB12 News,0.21
yen slips asia amid crimea tensions,IAB12 News,0.15
ebola outbreak west africia concerns pa officials,IAB12 News,0.22
plane spots object search lost malaysia airlines mh370 jet shifts north,IAB20 Travel,0.18
scandal finale recap price free fair elections,IAB12 News,0.23
resveratrol red wine may health booster,IAB8 Food & Drink,0.17
sp 500 extends gains fifth day investors look earnings,IAB17 Sports,0.25
w african nations prepared ebola,IAB12 News,0.24
gm announce compensation ignition switch recall,IAB2 Automotive,0.36
european country votes set minimum wage 25hr,"IAB11 Law, Gov’t & Politics",0.18
garmins viago app packs lot functionality one place,IAB19 Technology & Computing,0.22
