text,iab_label,confidence
mozilla pulls plug windows 8 metro version firefox days release flat,IAB19 Technology & Computing,0.16
dancing stars maks val chmerkovskiy nude people magazine,IAB1 Arts & Entertainment,0.45
anna wintour anna wintour praises kim kardashian,IAB18 Style & Fashion,0.2
ipcc report highlights challenges farmers,IAB13 Personal Finance,0.39
insitute says haruko obokata rising japanese researcher falsified,IAB15 Science,0.09
posted yesterday 417pm,IAB12 News,0.19
kim kardashian postpones daughter north wests first birthday celebrations,IAB6 Family & Parenting,0.37
public investment needed boost stalling world growth,IAB24 Uncategorized,0.12
2014 jeep cherokee named wards 10 best interiors list 2014,IAB2 Automotive,0.47
hack siri gives powers,IAB19 Technology & Computing,0.32
lineup sinister six movie,IAB24 Uncategorized,0.14
parties promise address climate change issues,IAB12 News,0.28
miami mayor officials call end ultra music festival,IAB1 Arts & Entertainment,0.35
google glass goes sale 24 hours april 15th,IAB19 Technology & Computing,0.14
hgtv axes flip forward hosts antigay roots emerge,IAB12 News,0.09
jitters iraq lift gas prices,IAB12 News,0.13
ice cube clarifies mtv paul walker comments twitter photos,IAB1 Arts & Entertainment,0.18
rosie odonnell reportedly headed back view,IAB12 News,0.16
stars supermodels galore amfars annual gala cannes,IAB18 Style & Fashion,0.22
tv watching screens increases death rate,IAB24 Uncategorized,0.12
dont get sentimental end windows xp era could put personal information,IAB24 Uncategorized,0.18
jamie dimons heir apparent leaves jpmorgan carlyle group,IAB3 Business,0.35
government require rearview cameras new vehicles 2018,IAB2 Automotive,0.26
field dreams town prepares anniversary party visits actors,IAB1 Arts & Entertainment,0.25
game thrones screening draws thousands,IAB1 Arts & Entertainment,0.49
heartbleed software snafu good bad ugly,IAB19 Technology & Computing,0.29
sp 500 caps worst twoday drop since june tech slides,IAB17 Sports,0.19
market update general motors company nysegm gm sued fatal,IAB3 Business,0.46
bachelorette love letter nick viall makes case,IAB12 News,0.16
samsung galaxy ace style official,IAB19 Technology & Computing,0.22
yandex buy russian auto classifieds website autoru 175 mln cash,IAB3 Business,0.31
apple unveil smart home software iphones,IAB19 Technology & Computing,0.42
lena dunham celebrates taylor swift saturday night live afterparty,IAB1 Arts & Entertainment,0.29
true blood season 7 episode 2 recap government bails,IAB14 Society,0.13
facebook may prepping new snapchat competitor known slingshot,IAB19 Technology & Computing,0.17
yale university announces partnership former us treasury secretary,IAB5 Education,0.33
jepsen supports apple pricefixing settlement ebook consumers,IAB8 Food & Drink,0.12
nsa reportedly developed malware infect computers worldwide,IAB12 News,0.17
sc rejects subrata roys plea placed house arrest,IAB14 Society,0.26
singapore snapping hong kongs yuan heels,IAB18 Style & Fashion,0.16
vital signs prescription drug overdose,IAB24 Uncategorized,0.11
andrew garfield super snl spoofs amazing spiderman appalling donald,IAB1 Arts & Entertainment,0.31
yahoo still sales rut ceo unable rev company engines,IAB3 Business,0.58
russiaukraine gas talks fail,IAB12 News,0.17
greece eurogroup ecofin conferences athens,IAB14 Society,0.14
japan arms sales shift rings alarm,IAB12 News,0.53
boxs ipo revenueexpenditure mismatches cult growth costs,IAB23 Religion & Spirituality,0.17
take look launch trailer ubisofts watch dogs video,IAB1 Arts & Entertainment,0.27
goodbye psp sony discontinues device decade,IAB14 Society,0.44
google revenue clicking youtube maps ads,IAB3 Business,0.18
visa mastercard cut russian banks,IAB20 Travel,0.29
kim kardashian game sneak peak revealed instagram,IAB17 Sports,0.1
samsung outs galaxy s5 dx mini come variety colors,IAB19 Technology & Computing,0.25
apple said buying googlebacked swell 30m,IAB19 Technology & Computing,0.21
microsoft introduce xbox one china,IAB19 Technology & Computing,0.4
alicia keys announces second pregnancy wedding anniversary,IAB6 Family & Parenting,0.31
good wife mourns bombshell death critics take,IAB24 Uncategorized,0.13
lindsay lohan sues grand theft auto v makers claims game used image,IAB2 Automotive,0.42
shares yahoo spike 75 percent due strong firstquarter report,IAB19 Technology & Computing,0.38
beyonce jayz hbo concert special details trailer released recap,IAB1 Arts & Entertainment,0.4
cosmic caffeine astronauts getting espresso maker,IAB15 Science,0.22
whats store 2014 new york auto show,IAB2 Automotive,0.31
hp revenue short wall streets estimates plans job cuts,IAB13 Personal Finance,0.18
antipsychotic medication reduce violent crime among people,IAB15 Science,0.13
toyota pay 12b hiding deadly unintended acceleration,IAB2 Automotive,0.37
new american idol north carolina,IAB23 Religion & Spirituality,0.14
samsung galaxy s5 extreme drop test video,IAB19 Technology & Computing,0.29
friends jennifer aniston courteney cox lisa kudrow reunite,IAB1 Arts & Entertainment,0.13
australia japan reach agreement free trade,IAB12 News,0.17
pending home sales sharply may,IAB21 Real Estate,0.58
northeast mississippi jobless rate dips sixyear low,IAB12 News,0.19
alibaba talks hollywood studios streaming video,IAB3 Business,0.38
capitol campus goes dark earth hour,IAB24 Uncategorized,0.12
samsungs latest tablet takes run laptop market,IAB19 Technology & Computing,0.55
bill ensures emails photos wont die 3 hours ago,IAB3 Business,0.13
christmas creeping former young turks net neutrality cannot,IAB24 Uncategorized,0.32
says air pollution highest risk health,IAB12 News,0.24
american idol 13 recap booted show,IAB1 Arts & Entertainment,0.2
khloe kardashian kim kardashian wedding date feud rob 2014 fat,IAB12 News,0.17
sons guns dropped star arrested rape charge louisiana haydens,IAB17 Sports,0.19
shia lebeouf spanks scots star alan cumming bum drunken broadway,IAB1 Arts & Entertainment,0.47
nadine gordimer politics people,"IAB11 Law, Gov’t & Politics",0.19
faa proposes fine southwest airlines 12m ktvn channel 2 reno tahoe,IAB20 Travel,0.31
feds fisher lauds study call action toobig banks,IAB12 News,0.24
teenage mutant ninja turtles return megan fox watch trailer,IAB1 Arts & Entertainment,0.19
teen banned track meet pink mohawk support cancerstricken mom,IAB17 Sports,0.67
amazon pay warehouse employees 5000 quit,IAB3 Business,0.38
herbalife investigation activist right,IAB3 Business,0.26
oscar pistorius manager testifies begging question athlete finely attuned,IAB17 Sports,0.51
kanye west furious annie leibovitz wedding photos,IAB1 Arts & Entertainment,0.13
jdcoms hot debut preview alibaba ipo,IAB19 Technology & Computing,0.43
shepherd mccarthy leaving view,IAB23 Religion & Spirituality,0.11
emerging stocks drop two weeks currencies fall,IAB12 News,0.14
shire abbvie announce 53 billion merger friday source,IAB14 Society,0.29
ultra fing yet theres website,IAB24 Uncategorized,0.14
hello kitty avril lavignes new video absolute disaster,IAB24 Uncategorized,0.14
harry potter goes grey 34 rowlings new story posted website,IAB12 News,0.49
